BioSample,refGenome
SAMEA6815854,GCA_013435755.1
SAMEA6815855,GCA_013435755.1
SAMEA6815856,GCA_013435755.1
SAMEA6815857,GCA_013435755.1
SAMEA6815858,GCA_013435755.1
SAMEA6815859,GCA_013435755.1
SAMEA6815860,GCA_013435755.1
SAMEA6815861,GCA_013435755.1
SAMEA6815862,GCA_013435755.1
SAMEA6815863,GCA_013435755.1
SAMEA6815864,GCA_013435755.1
SAMEA6815865,GCA_013435755.1
SAMEA6815866,GCA_013435755.1
SAMEA6815867,GCA_013435755.1
SAMEA6815868,GCA_013435755.1
SAMEA6815869,GCA_013435755.1
SAMEA6815870,GCA_013435755.1
SAMEA6815871,GCA_013435755.1
SAMEA6815872,GCA_013435755.1
SAMEA6815873,GCA_013435755.1
SAMEA6815874,GCA_013435755.1
SAMEA6815875,GCA_013435755.1
SAMEA6815876,GCA_013435755.1
SAMEA6815877,GCA_013435755.1
SAMEA6815878,GCA_013435755.1
SAMEA6815944,GCA_013435755.1
SAMEA6815945,GCA_013435755.1
SAMEA6815946,GCA_013435755.1
SAMEA6815947,GCA_013435755.1
SAMEA6815948,GCA_013435755.1
SAMEA6815949,GCA_013435755.1
SAMEA6815950,GCA_013435755.1
SAMEA6815951,GCA_013435755.1
SAMEA6815952,GCA_013435755.1
SAMEA6815953,GCA_013435755.1
SAMEA6815954,GCA_013435755.1
SAMEA6815955,GCA_013435755.1
SAMEA6815956,GCA_013435755.1
SAMEA6815957,GCA_013435755.1
SAMEA6815958,GCA_013435755.1
SAMEA6815959,GCA_013435755.1
SAMEA6815961,GCA_013435755.1
SAMEA6815962,GCA_013435755.1
SAMEA6815963,GCA_013435755.1
SAMEA6815964,GCA_013435755.1
SAMEA6815965,GCA_013435755.1
SAMEA6815966,GCA_013435755.1
SAMEA6815967,GCA_013435755.1
SAMEA6815960,GCA_013435755.1
