BioSample,refGenome
SAMEA6815700,GCA_013435755.1
SAMEA6815702,GCA_013435755.1
SAMEA6815703,GCA_013435755.1
SAMEA6815704,GCA_013435755.1
SAMEA6815705,GCA_013435755.1
SAMEA6815706,GCA_013435755.1
SAMEA6815707,GCA_013435755.1
SAMEA6815708,GCA_013435755.1
SAMEA6815709,GCA_013435755.1
SAMEA6815710,GCA_013435755.1
SAMEA6815712,GCA_013435755.1
SAMEA6815713,GCA_013435755.1
SAMEA6815714,GCA_013435755.1
SAMEA6815715,GCA_013435755.1
SAMEA6815733,GCA_013435755.1
SAMEA6815734,GCA_013435755.1
SAMEA6815737,GCA_013435755.1
SAMEA6815738,GCA_013435755.1
SAMEA6815739,GCA_013435755.1
SAMEA6815740,GCA_013435755.1
SAMEA6815741,GCA_013435755.1
SAMEA6815742,GCA_013435755.1
SAMEA6815735,GCA_013435755.1
SAMEA6815701,GCA_013435755.1
SAMEA6815736,GCA_013435755.1
