BioSample,refGenome
SAMEA6815794,GCA_013435755.1
SAMEA6815795,GCA_013435755.1
SAMEA6815796,GCA_013435755.1
SAMEA6815797,GCA_013435755.1
SAMEA6815798,GCA_013435755.1
SAMEA6815799,GCA_013435755.1
SAMEA6815800,GCA_013435755.1
SAMEA6815801,GCA_013435755.1
SAMEA6815802,GCA_013435755.1
SAMEA6815803,GCA_013435755.1
SAMEA6815804,GCA_013435755.1
SAMEA6815805,GCA_013435755.1
SAMEA6815806,GCA_013435755.1
SAMEA6815807,GCA_013435755.1
SAMEA6815808,GCA_013435755.1
SAMEA6815809,GCA_013435755.1
SAMEA6815810,GCA_013435755.1
SAMEA6815811,GCA_013435755.1
SAMEA6815812,GCA_013435755.1
SAMEA6815813,GCA_013435755.1
