BioSample,refGenome
SAMEA6816057,GCA_013435755.1
SAMEA6816058,GCA_013435755.1
SAMEA6816059,GCA_013435755.1
SAMEA6816060,GCA_013435755.1
SAMEA6816061,GCA_013435755.1
SAMEA6816062,GCA_013435755.1
SAMEA6816063,GCA_013435755.1
SAMEA6816064,GCA_013435755.1
SAMEA6816065,GCA_013435755.1
SAMEA6816066,GCA_013435755.1
SAMEA6816067,GCA_013435755.1
SAMEA6816068,GCA_013435755.1
SAMEA6816069,GCA_013435755.1
SAMEA6816070,GCA_013435755.1
SAMEA6816072,GCA_013435755.1
SAMEA6816073,GCA_013435755.1
SAMEA6816074,GCA_013435755.1
