BioSample,refGenome
SAMEA6815754,GCA_013435755.1
SAMEA6815755,GCA_013435755.1
SAMEA6815756,GCA_013435755.1
SAMEA6815757,GCA_013435755.1
SAMEA6815758,GCA_013435755.1
SAMEA6815759,GCA_013435755.1
SAMEA6815760,GCA_013435755.1
SAMEA6815761,GCA_013435755.1
SAMEA6815762,GCA_013435755.1
SAMEA6815763,GCA_013435755.1
SAMEA6815764,GCA_013435755.1
SAMEA6815765,GCA_013435755.1
SAMEA6815766,GCA_013435755.1
SAMEA6815767,GCA_013435755.1
SAMEA6815768,GCA_013435755.1
SAMEA6815769,GCA_013435755.1
SAMEA6815770,GCA_013435755.1
SAMEA6815771,GCA_013435755.1
SAMEA6815772,GCA_013435755.1
SAMEA6815773,GCA_013435755.1
