BioSample,lat,long,refGenome
SAMN11458497,33.91939926147461,-78.26861572265625,GCF_000090745.1
SAMN11458498,33.20448303222656,-79.387664794921875,GCF_000090745.1
SAMN11458504,34.72758483886719,-76.7361831665039,GCF_000090745.1
SAMN11458505,34.72758483886719,-76.7361831665039,GCF_000090745.1
SAMN11458506,31.352949142456055,-81.44746398925781,GCF_000090745.1
SAMN11458507,31.352949142456055,-81.44746398925781,GCF_000090745.1
SAMN11458508,35.538551330566406,-84.07624816894531,GCF_000090745.1
SAMN11458509,35.55580139160156,-84.00244903564453,GCF_000090745.1
SAMN11458510,29.797882080078125,-90.812896728515625,GCF_000090745.1
SAMN11458511,29.797882080078125,-90.812896728515625,GCF_000090745.1
SAMN11458521,32.94466781616211,-95.19367980957031,GCF_000090745.1
SAMN11458513,28.243610382080078,-80.87055969238281,GCF_000090745.1
SAMN11458514,28.243610382080078,-80.87055969238281,GCF_000090745.1
SAMN11458517,26.683332443237305,-80.71688079833984,GCF_000090745.1
SAMN11458518,26.683332443237305,-80.71688079833984,GCF_000090745.1
SAMN11458519,28.543777465820312,-80.942169189453125,GCF_000090745.1
SAMN11458520,28.543777465820312,-80.942169189453125,GCF_000090745.1
SAMN11458522,27.640277862548828,-80.5947494506836,GCF_000090745.1
SAMN11458523,27.640277862548828,-80.5947494506836,GCF_000090745.1
SAMN11458495,29.826650619506836,-82.59712982177734,GCF_000090745.1
SAMN11458496,29.909549713134766,-83.31497955322266,GCF_000090745.1
SAMN11458515,28.078317642211914,-81.72953033447266,GCF_000090745.1
SAMN11458516,27.366783142089844,-81.40015411376953,GCF_000090745.1
SAMN11458500,25.91866683959961,-81.31078338623047,GCF_000090745.1
SAMN11458501,25.91866683959961,-81.31078338623047,GCF_000090745.1
SAMN11458502,25.91866683959961,-81.31078338623047,GCF_000090745.1
SAMN11458503,25.91866683959961,-81.31078338623047,GCF_000090745.1
