BioSample,refGenome
SAMEA1904323,GCF_900246225.1
SAMEA1904326,GCF_900246225.1
SAMEA1904327,GCF_900246225.1
SAMEA1904328,GCF_900246225.1
SAMEA1920090,GCF_900246225.1
SAMEA1920092,GCF_900246225.1
SAMEA2661381,GCF_900246225.1
SAMEA2661382,GCF_900246225.1
SAMEA2661383,GCF_900246225.1
SAMEA2661384,GCF_900246225.1
SAMEA2661385,GCF_900246225.1
SAMEA2661386,GCF_900246225.1
SAMEA2661387,GCF_900246225.1
SAMEA2661389,GCF_900246225.1
SAMEA2661390,GCF_900246225.1
SAMEA2661391,GCF_900246225.1
SAMEA1920091,GCF_900246225.1
SAMEA2661388,GCF_900246225.1
SAMEA3388875,GCF_900246225.1
SAMEA3388876,GCF_900246225.1
SAMEA3388877,GCF_900246225.1
SAMEA2661291,GCF_900246225.1
SAMEA2661293,GCF_900246225.1
SAMEA2661295,GCF_900246225.1
SAMEA1904833,GCF_900246225.1
SAMEA3388878,GCF_900246225.1
