BioSample,refGenome
SAMN03734634,GCF_000372685.2
SAMN03421319,GCF_000372685.2
SAMN03421321,GCF_000372685.2
SAMN03421322,GCF_000372685.2
SAMN03421323,GCF_000372685.2
SAMN03421324,GCF_000372685.2
SAMN03421325,GCF_000372685.2
SAMN03421326,GCF_000372685.2
SAMN03421314,GCF_000372685.2
SAMN03421315,GCF_000372685.2
SAMN03421316,GCF_000372685.2
SAMN03421317,GCF_000372685.2
SAMN03421318,GCF_000372685.2
SAMN03421320,GCF_000372685.2
SAMN03421327,GCF_000372685.2
SAMN03024475,GCF_000372685.2
SAMN03024476,GCF_000372685.2
SAMN03024477,GCF_000372685.2
SAMN03024478,GCF_000372685.2
SAMN03024479,GCF_000372685.2
SAMN03024480,GCF_000372685.2
SAMN03024481,GCF_000372685.2
SAMN03024482,GCF_000372685.2
SAMN03024483,GCF_000372685.2
SAMN03024484,GCF_000372685.2
SAMN03024485,GCF_000372685.2
SAMN03024486,GCF_000372685.2
SAMN03024487,GCF_000372685.2
SAMN03024488,GCF_000372685.2
SAMN03024489,GCF_000372685.2
SAMN03024490,GCF_000372685.2
SAMN03024491,GCF_000372685.2
SAMN03024492,GCF_000372685.2
SAMN03024493,GCF_000372685.2
SAMN03024494,GCF_000372685.2
SAMN03024495,GCF_000372685.2
SAMN03024496,GCF_000372685.2
SAMN03024497,GCF_000372685.2
SAMN03024498,GCF_000372685.2
SAMN03024499,GCF_000372685.2
SAMN03024500,GCF_000372685.2
SAMN03024501,GCF_000372685.2
SAMN03024502,GCF_000372685.2
SAMN03024503,GCF_000372685.2
