BioSample,refGenome
SAMN15398059,GCF_900700415.1
SAMN15398058,GCF_900700415.1
SAMN15398057,GCF_900700415.1
SAMN15398056,GCF_900700415.1
SAMN15398053,GCF_900700415.1
SAMN15398053,GCF_900700415.1
SAMN15398052,GCF_900700415.1
SAMN15398051,GCF_900700415.1
SAMN15398050,GCF_900700415.1
SAMN15398050,GCF_900700415.1
SAMN15398049,GCF_900700415.1
SAMN15398049,GCF_900700415.1
SAMN15398048,GCF_900700415.1
SAMN15398048,GCF_900700415.1
SAMN15398047,GCF_900700415.1
SAMN15398047,GCF_900700415.1
SAMN15398046,GCF_900700415.1
SAMN15398046,GCF_900700415.1
SAMN15398045,GCF_900700415.1
SAMN15398044,GCF_900700415.1
SAMN15398043,GCF_900700415.1
SAMN15398042,GCF_900700415.1
SAMN15398041,GCF_900700415.1
SAMN15398041,GCF_900700415.1
SAMN15398040,GCF_900700415.1
SAMN15398040,GCF_900700415.1
SAMN15398039,GCF_900700415.1
SAMN15398055,GCF_900700415.1
SAMN15398051,GCF_900700415.1
SAMN15398039,GCF_900700415.1
SAMN15398052,GCF_900700415.1
SAMN15398045,GCF_900700415.1
SAMN15398054,GCF_900700415.1
SAMN05589101,GCF_900700415.1
SAMN05589100,GCF_900700415.1
SAMN05589099,GCF_900700415.1
SAMN05589098,GCF_900700415.1
SAMN05589096,GCF_900700415.1
SAMN05589094,GCF_900700415.1
SAMN05589093,GCF_900700415.1
SAMN05589090,GCF_900700415.1
SAMN05589089,GCF_900700415.1
SAMN05589088,GCF_900700415.1
SAMN05589085,GCF_900700415.1
SAMN05589084,GCF_900700415.1
SAMN05589083,GCF_900700415.1
SAMN05589082,GCF_900700415.1
SAMN05589081,GCF_900700415.1
SAMN05589091,GCF_900700415.1
SAMN05589087,GCF_900700415.1
SAMN05589092,GCF_900700415.1
SAMN05589086,GCF_900700415.1
SAMN05589095,GCF_900700415.1
SAMN05589097,GCF_900700415.1
SAMN06127787,GCF_900700415.1
SAMN06127779,GCF_900700415.1
SAMN06127780,GCF_900700415.1
SAMN06127788,GCF_900700415.1
