BioSample,refGenome
SAMN13381277,GCA_007927625.1
SAMN13381278,GCA_007927625.1
SAMN13381271,GCA_007927625.1
SAMN13381272,GCA_007927625.1
SAMN13381269,GCA_007927625.1
SAMN13381275,GCA_007927625.1
SAMN13381276,GCA_007927625.1
SAMN13381273,GCA_007927625.1
SAMN13381274,GCA_007927625.1
SAMN13381304,GCA_007927625.1
SAMN13381303,GCA_007927625.1
SAMN13381301,GCA_007927625.1
SAMN13381300,GCA_007927625.1
SAMN13381299,GCA_007927625.1
SAMN13381228,GCA_007927625.1
SAMN13381227,GCA_007927625.1
SAMN13381226,GCA_007927625.1
SAMN13381225,GCA_007927625.1
SAMN13381224,GCA_007927625.1
SAMN13381222,GCA_007927625.1
SAMN13381221,GCA_007927625.1
SAMN13381220,GCA_007927625.1
SAMN13381219,GCA_007927625.1
SAMN13381289,GCA_007927625.1
SAMN13381290,GCA_007927625.1
SAMN13381291,GCA_007927625.1
SAMN13381292,GCA_007927625.1
SAMN13381293,GCA_007927625.1
SAMN13381294,GCA_007927625.1
SAMN13381295,GCA_007927625.1
SAMN13381297,GCA_007927625.1
SAMN13381298,GCA_007927625.1
SAMN13381244,GCA_007927625.1
SAMN13381243,GCA_007927625.1
SAMN13381246,GCA_007927625.1
SAMN13381245,GCA_007927625.1
SAMN13381240,GCA_007927625.1
SAMN13381239,GCA_007927625.1
SAMN13381242,GCA_007927625.1
SAMN13381241,GCA_007927625.1
SAMN13381248,GCA_007927625.1
SAMN13381247,GCA_007927625.1
SAMN13381235,GCA_007927625.1
SAMN13381236,GCA_007927625.1
SAMN13381233,GCA_007927625.1
SAMN13381234,GCA_007927625.1
SAMN13381231,GCA_007927625.1
SAMN13381232,GCA_007927625.1
SAMN13381229,GCA_007927625.1
SAMN13381230,GCA_007927625.1
SAMN13381237,GCA_007927625.1
SAMN13381238,GCA_007927625.1
SAMN13381262,GCA_007927625.1
SAMN13381261,GCA_007927625.1
SAMN13381260,GCA_007927625.1
SAMN13381259,GCA_007927625.1
SAMN13381266,GCA_007927625.1
SAMN13381265,GCA_007927625.1
SAMN13381264,GCA_007927625.1
SAMN13381263,GCA_007927625.1
SAMN13381268,GCA_007927625.1
SAMN13381267,GCA_007927625.1
SAMN13381218,GCA_007927625.1
SAMN13381217,GCA_007927625.1
SAMN13381214,GCA_007927625.1
SAMN13381213,GCA_007927625.1
SAMN13381216,GCA_007927625.1
SAMN13381215,GCA_007927625.1
SAMN08177143,GCA_007927625.1
SAMN13381212,GCA_007927625.1
SAMN13381211,GCA_007927625.1
SAMN13381257,GCA_007927625.1
SAMN13381258,GCA_007927625.1
SAMN13381253,GCA_007927625.1
SAMN13381254,GCA_007927625.1
SAMN13381255,GCA_007927625.1
SAMN13381256,GCA_007927625.1
SAMN13381249,GCA_007927625.1
SAMN13381251,GCA_007927625.1
SAMN13381252,GCA_007927625.1
SAMN13381288,GCA_007927625.1
SAMN13381287,GCA_007927625.1
SAMN13381280,GCA_007927625.1
SAMN13381279,GCA_007927625.1
SAMN13381282,GCA_007927625.1
SAMN13381281,GCA_007927625.1
SAMN13381284,GCA_007927625.1
SAMN13381283,GCA_007927625.1
SAMN13381286,GCA_007927625.1
SAMN13381285,GCA_007927625.1
SAMN13381296,GCA_007927625.1
SAMN13381210,GCA_007927625.1
SAMN13381250,GCA_007927625.1
SAMN13381223,GCA_007927625.1
SAMN13381270,GCA_007927625.1
SAMN13381302,GCA_007927625.1
