BioSample,refGenome
SAMEA3334435,GCF_000738735.5
SAMEA3334642,GCF_000738735.5
SAMEA3334643,GCF_000738735.5
SAMEA3334594,GCF_000738735.5
SAMEA3334644,GCF_000738735.5
SAMEA3334645,GCF_000738735.5
SAMEA3334646,GCF_000738735.5
SAMEA3334595,GCF_000738735.5
SAMEA3334596,GCF_000738735.5
SAMEA3334597,GCF_000738735.5
SAMEA3334598,GCF_000738735.5
SAMEA3334599,GCF_000738735.5
SAMEA3334647,GCF_000738735.5
SAMEA3334600,GCF_000738735.5
SAMEA3334601,GCF_000738735.5
SAMEA3334602,GCF_000738735.5
SAMEA3334603,GCF_000738735.5
SAMEA3334604,GCF_000738735.5
SAMEA3334605,GCF_000738735.5
SAMEA3334606,GCF_000738735.5
SAMEA3334607,GCF_000738735.5
SAMEA3334608,GCF_000738735.5
SAMEA3334609,GCF_000738735.5
SAMEA3334648,GCF_000738735.5
SAMEA3334649,GCF_000738735.5
SAMEA3334610,GCF_000738735.5
SAMEA3334650,GCF_000738735.5
SAMEA3334651,GCF_000738735.5
SAMEA3334652,GCF_000738735.5
SAMEA3334611,GCF_000738735.5
SAMEA3334612,GCF_000738735.5
SAMEA3334613,GCF_000738735.5
SAMEA3334653,GCF_000738735.5
SAMEA3334614,GCF_000738735.5
SAMEA3334654,GCF_000738735.5
SAMEA3334615,GCF_000738735.5
SAMEA3334655,GCF_000738735.5
SAMEA3334656,GCF_000738735.5
SAMEA3334657,GCF_000738735.5
SAMEA3334616,GCF_000738735.5
SAMEA3334617,GCF_000738735.5
SAMEA3334618,GCF_000738735.5
SAMEA3334658,GCF_000738735.5
SAMEA3334619,GCF_000738735.5
SAMEA3334620,GCF_000738735.5
SAMEA3334621,GCF_000738735.5
SAMEA3334659,GCF_000738735.5
SAMEA3334660,GCF_000738735.5
SAMEA3334661,GCF_000738735.5
SAMEA3334622,GCF_000738735.5
SAMEA3334662,GCF_000738735.5
SAMEA3334663,GCF_000738735.5
SAMEA3334623,GCF_000738735.5
SAMEA3334624,GCF_000738735.5
SAMEA5089890,GCF_000738735.5
