BioSample,refGenome
SAMN08365921,GCA_002895965.1
SAMN08365920,GCA_002895965.1
SAMN08365923,GCA_002895965.1
SAMN08365922,GCA_002895965.1
SAMN08365916,GCA_002895965.1
SAMN08365919,GCA_002895965.1
SAMN08365918,GCA_002895965.1
SAMN08365933,GCA_002895965.1
SAMN08365944,GCA_002895965.1
SAMN08365925,GCA_002895965.1
SAMN08365924,GCA_002895965.1
SAMN08365935,GCA_002895965.1
SAMN08365937,GCA_002895965.1
SAMN08365900,GCA_002895965.1
SAMN08365932,GCA_002895965.1
SAMN08365943,GCA_002895965.1
SAMN08365942,GCA_002895965.1
SAMN08365939,GCA_002895965.1
SAMN08365940,GCA_002895965.1
SAMN08365936,GCA_002895965.1
SAMN08365954,GCA_002895965.1
SAMN08365950,GCA_002895965.1
SAMN08365951,GCA_002895965.1
SAMN08365952,GCA_002895965.1
SAMN08365953,GCA_002895965.1
SAMN08365946,GCA_002895965.1
SAMN08365947,GCA_002895965.1
SAMN08365949,GCA_002895965.1
SAMN08365914,GCA_002895965.1
SAMN08365915,GCA_002895965.1
SAMN08365930,GCA_002895965.1
SAMN08365931,GCA_002895965.1
SAMN08365928,GCA_002895965.1
SAMN08365929,GCA_002895965.1
SAMN08365926,GCA_002895965.1
SAMN08365927,GCA_002895965.1
SAMN08365906,GCA_002895965.1
SAMN08365907,GCA_002895965.1
SAMN08365908,GCA_002895965.1
SAMN08365909,GCA_002895965.1
SAMN08365910,GCA_002895965.1
SAMN08365911,GCA_002895965.1
SAMN08365912,GCA_002895965.1
SAMN08365913,GCA_002895965.1
SAMN08365945,GCA_002895965.1
SAMN08365905,GCA_002895965.1
SAMN08365934,GCA_002895965.1
SAMN08365901,GCA_002895965.1
SAMN08365902,GCA_002895965.1
SAMN08365896,GCA_002895965.1
SAMN08365897,GCA_002895965.1
SAMN08365898,GCA_002895965.1
SAMN08365899,GCA_002895965.1
SAMN08365941,GCA_002895965.1
SAMN08365904,GCA_002895965.1
SAMN08365917,GCA_002895965.1
SAMN08365955,GCA_002895965.1
SAMN08365948,GCA_002895965.1
SAMN08365938,GCA_002895965.1
SAMN08365903,GCA_002895965.1
