BioProject,BioSample,Organism,sex,Population,Collection_date,Submitter_Id,refGenome,refSpecies
PRJNA485198,SAMN09786226,Ctenochromis_horei,female,Ndole Lake,2015-11,MIA8,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786225,Ctenochromis_horei,male,Ndole Lake,2015-11,MIA7,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786224,Ctenochromis_horei,male,Ndole Lake,2015-11,MIA5,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786229,Ctenochromis_horei,female,Ndole Lake,2015-11,MIB2,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786228,Ctenochromis_horei,female,Ndole Lake,2015-11,MIB1,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786213,Ctenochromis_horei,female,Lufubu River,2015-11,MFG8,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786212,Ctenochromis_horei,male,Lufubu River,2015-11,MFG7,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786207,Ctenochromis_horei,male,Lufubu River,2015-11,MFG2,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786206,Ctenochromis_horei,male,Lufubu River,2015-11,MFG1,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786209,Ctenochromis_horei,female,Lufubu River,2015-11,MFG4,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786208,Ctenochromis_horei,male,Lufubu River,2015-11,MFG3,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786211,Ctenochromis_horei,male,Lufubu River,2015-11,MFG6,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786210,Ctenochromis_horei,male,Lufubu River,2015-11,MFG5,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786222,Ctenochromis_horei,female,Ndole Lake,2015-11,MIA2,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786218,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI2,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786219,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI4,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786220,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI6,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786221,Ctenochromis_horei,male,Ndole Lake,2015-11,MFI7,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786214,Ctenochromis_horei,female,Lufubu River,2015-11,MFG9,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786215,Ctenochromis_horei,female,Lufubu River,2015-11,MFH1,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786216,Ctenochromis_horei,female,Lufubu River,2015-11,MFH2,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786217,Ctenochromis_horei,female,Lufubu River,2015-11,MFH4,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786227,Ctenochromis_horei,female,Ndole Lake,2015-11,MIA9,GCF_000239415.1,Haplochromis_burtoni
PRJNA485198,SAMN09786223,Ctenochromis_horei,female,Ndole Lake,2015-11,MIA4,GCF_000239415.1,Haplochromis_burtoni
