BioSample,refGenome
SAMN10617437,GCF_000951615.1
SAMN10617436,GCF_000951615.1
SAMN10617513,GCF_000951615.1
SAMN10617512,GCF_000951615.1
SAMN10617511,GCF_000951615.1
SAMN10617505,GCF_000951615.1
SAMN10617506,GCF_000951615.1
SAMN10617507,GCF_000951615.1
SAMN10617508,GCF_000951615.1
SAMN10617501,GCF_000951615.1
SAMN10617502,GCF_000951615.1
SAMN10617503,GCF_000951615.1
SAMN10617504,GCF_000951615.1
SAMN10617509,GCF_000951615.1
SAMN10617510,GCF_000951615.1
SAMN10617480,GCF_000951615.1
SAMN10617479,GCF_000951615.1
SAMN10617478,GCF_000951615.1
SAMN10617477,GCF_000951615.1
SAMN10617476,GCF_000951615.1
SAMN10617475,GCF_000951615.1
SAMN10617474,GCF_000951615.1
SAMN10617473,GCF_000951615.1
SAMN10617472,GCF_000951615.1
SAMN10617471,GCF_000951615.1
SAMN10617469,GCF_000951615.1
SAMN10617470,GCF_000951615.1
SAMN10617465,GCF_000951615.1
SAMN10617466,GCF_000951615.1
SAMN10617468,GCF_000951615.1
SAMN10617496,GCF_000951615.1
SAMN10617495,GCF_000951615.1
SAMN10617498,GCF_000951615.1
SAMN10617497,GCF_000951615.1
SAMN10617492,GCF_000951615.1
SAMN10617491,GCF_000951615.1
SAMN10617494,GCF_000951615.1
SAMN10617493,GCF_000951615.1
SAMN10617500,GCF_000951615.1
SAMN10617499,GCF_000951615.1
SAMN10617435,GCF_000951615.1
SAMN10617487,GCF_000951615.1
SAMN10617488,GCF_000951615.1
SAMN10617485,GCF_000951615.1
SAMN10617486,GCF_000951615.1
SAMN10617483,GCF_000951615.1
SAMN10617484,GCF_000951615.1
SAMN10617481,GCF_000951615.1
SAMN10617482,GCF_000951615.1
SAMN10617489,GCF_000951615.1
SAMN10617490,GCF_000951615.1
SAMN10617467,GCF_000951615.1
