BioSample,refGenome
SAMN09245601,GCA_000689215.1
SAMN09245600,GCA_000689215.1
SAMN09245593,GCA_000689215.1
SAMN09245592,GCA_000689215.1
SAMN09245595,GCA_000689215.1
SAMN09245594,GCA_000689215.1
SAMN09245597,GCA_000689215.1
SAMN09245596,GCA_000689215.1
SAMN09245599,GCA_000689215.1
SAMN09245598,GCA_000689215.1
SAMN09245591,GCA_000689215.1
SAMN09245590,GCA_000689215.1
SAMN09245585,GCA_000689215.1
SAMN09245584,GCA_000689215.1
SAMN09245583,GCA_000689215.1
SAMN09245582,GCA_000689215.1
SAMN09245589,GCA_000689215.1
SAMN09245588,GCA_000689215.1
SAMN09245587,GCA_000689215.1
SAMN09245586,GCA_000689215.1
SAMN09245602,GCA_000689215.1
SAMN09245603,GCA_000689215.1
SAMN09245604,GCA_000689215.1
SAMN09245605,GCA_000689215.1
SAMN14732662,GCA_000689215.1
SAMN14732661,GCA_000689215.1
SAMN14732659,GCA_000689215.1
SAMN14732712,GCA_000689215.1
SAMN14732711,GCA_000689215.1
SAMN14732710,GCA_000689215.1
SAMN14732709,GCA_000689215.1
SAMN14732708,GCA_000689215.1
SAMN14732707,GCA_000689215.1
SAMN14732706,GCA_000689215.1
SAMN14732705,GCA_000689215.1
SAMN14732704,GCA_000689215.1
SAMN14732703,GCA_000689215.1
SAMN14732658,GCA_000689215.1
SAMN14732702,GCA_000689215.1
SAMN14732701,GCA_000689215.1
SAMN14732700,GCA_000689215.1
SAMN14732699,GCA_000689215.1
SAMN14732698,GCA_000689215.1
SAMN14732697,GCA_000689215.1
SAMN14732696,GCA_000689215.1
SAMN14732695,GCA_000689215.1
SAMN14732693,GCA_000689215.1
SAMN14732657,GCA_000689215.1
SAMN14732692,GCA_000689215.1
SAMN14732691,GCA_000689215.1
SAMN14732690,GCA_000689215.1
SAMN14732689,GCA_000689215.1
SAMN14732688,GCA_000689215.1
SAMN14732687,GCA_000689215.1
SAMN14732686,GCA_000689215.1
SAMN14732685,GCA_000689215.1
SAMN14732684,GCA_000689215.1
SAMN14732683,GCA_000689215.1
SAMN14732656,GCA_000689215.1
SAMN14732681,GCA_000689215.1
SAMN14732679,GCA_000689215.1
SAMN14732678,GCA_000689215.1
SAMN14732677,GCA_000689215.1
SAMN14732676,GCA_000689215.1
SAMN14732675,GCA_000689215.1
SAMN14732674,GCA_000689215.1
SAMN14732673,GCA_000689215.1
SAMN14732655,GCA_000689215.1
SAMN14732672,GCA_000689215.1
SAMN14732671,GCA_000689215.1
SAMN14732670,GCA_000689215.1
SAMN14732669,GCA_000689215.1
SAMN14732668,GCA_000689215.1
SAMN14732667,GCA_000689215.1
SAMN14732666,GCA_000689215.1
SAMN14732664,GCA_000689215.1
SAMN14732663,GCA_000689215.1
SAMN14732654,GCA_000689215.1
SAMN14732653,GCA_000689215.1
SAMN14732682,GCA_000689215.1
SAMN14732680,GCA_000689215.1
SAMN14732665,GCA_000689215.1
SAMN14732660,GCA_000689215.1
