BioSample,refGenome
SAMEA3167980,GCF_000247815.1
SAMEA3167982,GCF_000247815.1
SAMEA3167983,GCF_000247815.1
SAMEA3167984,GCF_000247815.1
SAMEA3167985,GCF_000247815.1
SAMEA3167986,GCF_000247815.1
SAMEA3167987,GCF_000247815.1
SAMEA3167988,GCF_000247815.1
SAMEA3167989,GCF_000247815.1
SAMEA3167990,GCF_000247815.1
SAMEA3167992,GCF_000247815.1
SAMEA3167993,GCF_000247815.1
SAMEA3167995,GCF_000247815.1
SAMEA3167996,GCF_000247815.1
SAMEA3167997,GCF_000247815.1
SAMEA3167998,GCF_000247815.1
SAMEA3167999,GCF_000247815.1
SAMEA3172316,GCF_000247815.1
SAMEA3172317,GCF_000247815.1
SAMEA3172318,GCF_000247815.1
SAMEA3172319,GCF_000247815.1
SAMEA3172320,GCF_000247815.1
SAMEA3172321,GCF_000247815.1
SAMEA3172323,GCF_000247815.1
SAMEA3172324,GCF_000247815.1
SAMEA3172325,GCF_000247815.1
SAMEA3172327,GCF_000247815.1
SAMEA3172328,GCF_000247815.1
SAMEA3172329,GCF_000247815.1
SAMEA3172330,GCF_000247815.1
SAMEA3172331,GCF_000247815.1
SAMEA3172332,GCF_000247815.1
SAMEA3172333,GCF_000247815.1
SAMEA3172334,GCF_000247815.1
SAMEA3172489,GCF_000247815.1
SAMEA3172490,GCF_000247815.1
SAMEA3172491,GCF_000247815.1
SAMEA3172492,GCF_000247815.1
SAMEA3172493,GCF_000247815.1
SAMEA3172494,GCF_000247815.1
SAMEA3172495,GCF_000247815.1
SAMEA3172497,GCF_000247815.1
SAMEA3172498,GCF_000247815.1
SAMEA3172499,GCF_000247815.1
SAMEA3172500,GCF_000247815.1
SAMEA3172501,GCF_000247815.1
SAMEA3172502,GCF_000247815.1
SAMEA3172503,GCF_000247815.1
SAMEA3172505,GCF_000247815.1
SAMEA3172506,GCF_000247815.1
SAMEA2785538,GCF_000247815.1
SAMEA2785539,GCF_000247815.1
SAMEA2785540,GCF_000247815.1
SAMEA2785541,GCF_000247815.1
SAMEA2785542,GCF_000247815.1
SAMEA2785543,GCF_000247815.1
SAMEA2785544,GCF_000247815.1
SAMEA2785545,GCF_000247815.1
SAMEA2785546,GCF_000247815.1
SAMEA2785547,GCF_000247815.1
SAMEA2785548,GCF_000247815.1
SAMEA2785549,GCF_000247815.1
SAMEA2785550,GCF_000247815.1
SAMEA2785551,GCF_000247815.1
SAMEA2785553,GCF_000247815.1
SAMEA2785554,GCF_000247815.1
SAMEA2785555,GCF_000247815.1
SAMEA2785557,GCF_000247815.1
SAMEA3167991,GCF_000247815.1
SAMEA3172504,GCF_000247815.1
SAMEA3167981,GCF_000247815.1
SAMEA3167994,GCF_000247815.1
SAMEA3172326,GCF_000247815.1
SAMEA2785552,GCF_000247815.1
SAMEA3172322,GCF_000247815.1
SAMEA2785556,GCF_000247815.1
SAMEA3172496,GCF_000247815.1
