BioSample,refGenome
SAMEA3174129,GCF_000247815.1
SAMEA3174130,GCF_000247815.1
SAMEA3174131,GCF_000247815.1
SAMEA3174132,GCF_000247815.1
SAMEA3174133,GCF_000247815.1
SAMEA3174134,GCF_000247815.1
SAMEA3174135,GCF_000247815.1
SAMEA3174136,GCF_000247815.1
SAMEA3174137,GCF_000247815.1
SAMEA3174138,GCF_000247815.1
SAMEA3174139,GCF_000247815.1
SAMEA3174140,GCF_000247815.1
SAMEA3174141,GCF_000247815.1
SAMEA3174142,GCF_000247815.1
SAMEA3174143,GCF_000247815.1
SAMEA3174144,GCF_000247815.1
SAMEA3174145,GCF_000247815.1
SAMEA3174146,GCF_000247815.1
SAMEA3174147,GCF_000247815.1
SAMEA3174148,GCF_000247815.1
