BioSample,refGenome
SAMN05930393,GCF_011125445.2
SAMN05930394,GCF_011125445.2
SAMN05930395,GCF_011125445.2
SAMN05930396,GCF_011125445.2
SAMN05930397,GCF_011125445.2
SAMN05930398,GCF_011125445.2
SAMN05930399,GCF_011125445.2
SAMN05930400,GCF_011125445.2
SAMN05930391,GCF_011125445.2
SAMN05930392,GCF_011125445.2
SAMN05930643,GCF_011125445.2
SAMN05930428,GCF_011125445.2
SAMN05930427,GCF_011125445.2
SAMN05930430,GCF_011125445.2
SAMN05930429,GCF_011125445.2
SAMN05930424,GCF_011125445.2
SAMN05930423,GCF_011125445.2
SAMN05930425,GCF_011125445.2
SAMN05930422,GCF_011125445.2
SAMN05930421,GCF_011125445.2
SAMN05930528,GCF_011125445.2
SAMN05930526,GCF_011125445.2
SAMN05930527,GCF_011125445.2
SAMN05930524,GCF_011125445.2
SAMN05930525,GCF_011125445.2
SAMN05930522,GCF_011125445.2
SAMN05930523,GCF_011125445.2
SAMN05930520,GCF_011125445.2
SAMN05930521,GCF_011125445.2
SAMN05930511,GCF_011125445.2
SAMN05930510,GCF_011125445.2
SAMN05930515,GCF_011125445.2
SAMN05930514,GCF_011125445.2
SAMN05930513,GCF_011125445.2
SAMN05930512,GCF_011125445.2
SAMN05930519,GCF_011125445.2
SAMN05930518,GCF_011125445.2
SAMN05930517,GCF_011125445.2
SAMN05930419,GCF_011125445.2
SAMN05930420,GCF_011125445.2
SAMN05930417,GCF_011125445.2
SAMN05930418,GCF_011125445.2
SAMN05930415,GCF_011125445.2
SAMN05930413,GCF_011125445.2
SAMN05930414,GCF_011125445.2
SAMN05930411,GCF_011125445.2
SAMN05930537,GCF_011125445.2
SAMN05930536,GCF_011125445.2
SAMN05930539,GCF_011125445.2
SAMN05930538,GCF_011125445.2
SAMN05930533,GCF_011125445.2
SAMN05930532,GCF_011125445.2
SAMN05930535,GCF_011125445.2
SAMN05930534,GCF_011125445.2
SAMN05930531,GCF_011125445.2
SAMN05930451,GCF_011125445.2
SAMN05930452,GCF_011125445.2
SAMN05930540,GCF_011125445.2
SAMN05930541,GCF_011125445.2
SAMN05930542,GCF_011125445.2
SAMN05930543,GCF_011125445.2
SAMN05930544,GCF_011125445.2
SAMN05930545,GCF_011125445.2
SAMN05930546,GCF_011125445.2
SAMN05930547,GCF_011125445.2
SAMN05930548,GCF_011125445.2
SAMN05930549,GCF_011125445.2
SAMN05930637,GCF_011125445.2
SAMN05930638,GCF_011125445.2
SAMN05930551,GCF_011125445.2
SAMN05930550,GCF_011125445.2
SAMN05930606,GCF_011125445.2
SAMN05930605,GCF_011125445.2
SAMN05930604,GCF_011125445.2
SAMN05930603,GCF_011125445.2
SAMN05930602,GCF_011125445.2
SAMN05930601,GCF_011125445.2
SAMN05930599,GCF_011125445.2
SAMN05930366,GCF_011125445.2
