BioSample,refGenome
SAMN14363155,GCF_001891065.1
SAMN14363153,GCF_001891065.1
SAMN14363152,GCF_001891065.1
SAMN14363150,GCF_001891065.1
SAMN14363147,GCF_001891065.1
SAMN14363146,GCF_001891065.1
SAMN14363144,GCF_001891065.1
SAMN14363160,GCF_001891065.1
SAMN14363159,GCF_001891065.1
SAMN14363158,GCF_001891065.1
SAMN14363157,GCF_001891065.1
SAMN14363156,GCF_001891065.1
SAMN14363154,GCF_001891065.1
SAMN14363151,GCF_001891065.1
SAMN14363149,GCF_001891065.1
SAMN14363145,GCF_001891065.1
SAMN14363143,GCF_001891065.1
SAMN14363148,GCF_001891065.1
SAMN14363161,GCF_001891065.1
