BioSample,refGenome
SAMN14363208,GCF_001891065.1
SAMN14363206,GCF_001891065.1
SAMN14363203,GCF_001891065.1
SAMN14363201,GCF_001891065.1
SAMN14363199,GCF_001891065.1
SAMN14363198,GCF_001891065.1
SAMN14363196,GCF_001891065.1
SAMN14363194,GCF_001891065.1
SAMN14363192,GCF_001891065.1
SAMN14363190,GCF_001891065.1
SAMN14363205,GCF_001891065.1
SAMN14363204,GCF_001891065.1
SAMN14363202,GCF_001891065.1
SAMN14363200,GCF_001891065.1
SAMN14363197,GCF_001891065.1
SAMN14363195,GCF_001891065.1
SAMN14363193,GCF_001891065.1
SAMN14363191,GCF_001891065.1
SAMN14363207,GCF_001891065.1
