BioSample,refGenome
SAMN14363266,GCF_001891065.1
SAMN14363264,GCF_001891065.1
SAMN14363261,GCF_001891065.1
SAMN14363259,GCF_001891065.1
SAMN14363258,GCF_001891065.1
SAMN14363256,GCF_001891065.1
SAMN14363250,GCF_001891065.1
SAMN14363247,GCF_001891065.1
SAMN14363265,GCF_001891065.1
SAMN14363263,GCF_001891065.1
SAMN14363262,GCF_001891065.1
SAMN14363260,GCF_001891065.1
SAMN14363257,GCF_001891065.1
SAMN14363253,GCF_001891065.1
SAMN14363251,GCF_001891065.1
SAMN14363249,GCF_001891065.1
SAMN14363248,GCF_001891065.1
SAMN14363255,GCF_001891065.1
SAMN14363254,GCF_001891065.1
SAMN14363252,GCF_001891065.1
