BioSample,refGenome
SAMN14363324,GCF_001891065.1
SAMN14363322,GCF_001891065.1
SAMN14363321,GCF_001891065.1
SAMN14363319,GCF_001891065.1
SAMN14363317,GCF_001891065.1
SAMN14363314,GCF_001891065.1
SAMN14363311,GCF_001891065.1
SAMN14363308,GCF_001891065.1
SAMN14363323,GCF_001891065.1
SAMN14363320,GCF_001891065.1
SAMN14363318,GCF_001891065.1
SAMN14363316,GCF_001891065.1
SAMN14363315,GCF_001891065.1
SAMN14363313,GCF_001891065.1
SAMN14363312,GCF_001891065.1
SAMN14363310,GCF_001891065.1
SAMN14363309,GCF_001891065.1
SAMN14363307,GCF_001891065.1
