BioSample,refGenome
SAMN14363341,GCF_001891065.1
SAMN14363339,GCF_001891065.1
SAMN14363338,GCF_001891065.1
SAMN14363337,GCF_001891065.1
SAMN14363335,GCF_001891065.1
SAMN14363334,GCF_001891065.1
SAMN14363332,GCF_001891065.1
SAMN14363330,GCF_001891065.1
SAMN14363327,GCF_001891065.1
SAMN14363326,GCF_001891065.1
SAMN14363343,GCF_001891065.1
SAMN14363342,GCF_001891065.1
SAMN14363336,GCF_001891065.1
SAMN14363333,GCF_001891065.1
SAMN14363331,GCF_001891065.1
SAMN14363329,GCF_001891065.1
SAMN14363328,GCF_001891065.1
SAMN14363325,GCF_001891065.1
SAMN14363340,GCF_001891065.1
