BioSample,refGenome
SAMN14363395,GCF_001891065.1
SAMN14363392,GCF_001891065.1
SAMN14363389,GCF_001891065.1
SAMN14363388,GCF_001891065.1
SAMN14363387,GCF_001891065.1
SAMN14363385,GCF_001891065.1
SAMN14363382,GCF_001891065.1
SAMN14363380,GCF_001891065.1
SAMN14363377,GCF_001891065.1
SAMN14363394,GCF_001891065.1
SAMN14363393,GCF_001891065.1
SAMN14363391,GCF_001891065.1
SAMN14363390,GCF_001891065.1
SAMN14363386,GCF_001891065.1
SAMN14363384,GCF_001891065.1
SAMN14363379,GCF_001891065.1
SAMN14363378,GCF_001891065.1
SAMN14363376,GCF_001891065.1
SAMN14363383,GCF_001891065.1
SAMN14363381,GCF_001891065.1
