BioSample,refGenome
SAMN14363413,GCF_001891065.1
SAMN14363410,GCF_001891065.1
SAMN14363407,GCF_001891065.1
SAMN14363406,GCF_001891065.1
SAMN14363403,GCF_001891065.1
SAMN14363401,GCF_001891065.1
SAMN14363397,GCF_001891065.1
SAMN14363415,GCF_001891065.1
SAMN14363414,GCF_001891065.1
SAMN14363412,GCF_001891065.1
SAMN14363411,GCF_001891065.1
SAMN14363409,GCF_001891065.1
SAMN14363408,GCF_001891065.1
SAMN14363405,GCF_001891065.1
SAMN14363404,GCF_001891065.1
SAMN14363402,GCF_001891065.1
SAMN14363400,GCF_001891065.1
SAMN14363399,GCF_001891065.1
SAMN14363398,GCF_001891065.1
SAMN14363396,GCF_001891065.1
