BioSample,refGenome
SAMEA4799712,GCA_900610375.1
SAMEA4799711,GCA_900610375.1
SAMEA4799713,GCA_900610375.1
SAMEA4799708,GCA_900610375.1
SAMEA4799709,GCA_900610375.1
SAMEA4799707,GCA_900610375.1
SAMEA4799717,GCA_900610375.1
SAMEA4799718,GCA_900610375.1
SAMEA4799715,GCA_900610375.1
SAMEA4799710,GCA_900610375.1
SAMEA4799716,GCA_900610375.1
SAMEA4799714,GCA_900610375.1
SAMEA4799706,GCA_900610375.1
SAMEA4799682,GCA_900610375.1
SAMEA4799683,GCA_900610375.1
SAMEA4799684,GCA_900610375.1
SAMEA4799685,GCA_900610375.1
SAMEA4799686,GCA_900610375.1
SAMEA4799687,GCA_900610375.1
SAMEA4799688,GCA_900610375.1
SAMEA4799689,GCA_900610375.1
SAMEA4799690,GCA_900610375.1
SAMEA4799691,GCA_900610375.1
SAMEA4799692,GCA_900610375.1
SAMEA4799693,GCA_900610375.1
SAMEA4799694,GCA_900610375.1
SAMEA4799695,GCA_900610375.1
SAMEA4799696,GCA_900610375.1
SAMEA4799697,GCA_900610375.1
SAMEA4799698,GCA_900610375.1
SAMEA4799699,GCA_900610375.1
SAMEA4799700,GCA_900610375.1
SAMEA4799701,GCA_900610375.1
SAMEA4799702,GCA_900610375.1
SAMEA4799703,GCA_900610375.1
SAMEA4799704,GCA_900610375.1
SAMEA4799705,GCA_900610375.1
