BioSample,refGenome
SAMEA4799755,GCA_900610375.1
SAMEA4799754,GCA_900610375.1
SAMEA4799747,GCA_900610375.1
SAMEA4799753,GCA_900610375.1
SAMEA4799746,GCA_900610375.1
SAMEA4799750,GCA_900610375.1
SAMEA4799745,GCA_900610375.1
SAMEA4799749,GCA_900610375.1
SAMEA4799748,GCA_900610375.1
SAMEA4799744,GCA_900610375.1
SAMEA4799752,GCA_900610375.1
SAMEA4799751,GCA_900610375.1
SAMEA4799743,GCA_900610375.1
SAMEA4799719,GCA_900610375.1
SAMEA4799720,GCA_900610375.1
SAMEA4799722,GCA_900610375.1
SAMEA4799723,GCA_900610375.1
SAMEA4799725,GCA_900610375.1
SAMEA4799726,GCA_900610375.1
SAMEA4799727,GCA_900610375.1
SAMEA4799729,GCA_900610375.1
SAMEA4799730,GCA_900610375.1
SAMEA4799731,GCA_900610375.1
SAMEA4799732,GCA_900610375.1
SAMEA4799733,GCA_900610375.1
SAMEA4799734,GCA_900610375.1
SAMEA4799736,GCA_900610375.1
SAMEA4799737,GCA_900610375.1
SAMEA4799738,GCA_900610375.1
SAMEA4799739,GCA_900610375.1
SAMEA4799740,GCA_900610375.1
SAMEA4799741,GCA_900610375.1
SAMEA4799742,GCA_900610375.1
SAMEA4799735,GCA_900610375.1
SAMEA4799721,GCA_900610375.1
SAMEA4799728,GCA_900610375.1
SAMEA4799724,GCA_900610375.1
