BioSample,refGenome
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
SAMN04158632,GCA_900092035.1
