BioSample,lat,long,refGenome
SAMEA4785070,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785071,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785072,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785073,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785074,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785075,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785076,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785078,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785079,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMEA4785121,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785122,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785123,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785124,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785125,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785126,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785127,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785128,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785129,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785130,44.028194427490234,12.566638946533203,GCA_001700915.1
SAMEA4785150,41.85856628417969,15.450833320617676,GCA_001700915.1
SAMEA4785077,39.07547378540039,17.116500854492188,GCA_001700915.1
SAMN06619721,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619719,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619718,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619717,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619716,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619715,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619714,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619712,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619713,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMN06619720,41.91340255737305,14.913888931274414,GCA_001700915.1
SAMEA104363372,NA,NA,GCA_001700915.1
SAMEA104363373,NA,NA,GCA_001700915.1
SAMEA104363374,NA,NA,GCA_001700915.1
SAMEA104363375,NA,NA,GCA_001700915.1
SAMEA104363376,NA,NA,GCA_001700915.1
SAMEA104363377,NA,NA,GCA_001700915.1
SAMEA104363378,NA,NA,GCA_001700915.1
SAMEA104363379,NA,NA,GCA_001700915.1
SAMEA104363380,NA,NA,GCA_001700915.1
SAMEA104363381,NA,NA,GCA_001700915.1
SAMEA104363382,NA,NA,GCA_001700915.1
SAMEA104363383,NA,NA,GCA_001700915.1
SAMEA104363384,NA,NA,GCA_001700915.1
SAMEA104363385,NA,NA,GCA_001700915.1
SAMEA104363386,NA,NA,GCA_001700915.1
SAMEA104363387,NA,NA,GCA_001700915.1
SAMEA104363388,NA,NA,GCA_001700915.1
SAMEA104363389,NA,NA,GCA_001700915.1
SAMEA104363390,NA,NA,GCA_001700915.1
SAMEA104363391,NA,NA,GCA_001700915.1
SAMEA104363392,NA,NA,GCA_001700915.1
SAMEA104363393,NA,NA,GCA_001700915.1
SAMEA104363394,NA,NA,GCA_001700915.1
SAMEA104363395,NA,NA,GCA_001700915.1
SAMEA104363397,NA,NA,GCA_001700915.1
SAMEA104363398,NA,NA,GCA_001700915.1
SAMEA104363399,NA,NA,GCA_001700915.1
SAMEA104363400,NA,NA,GCA_001700915.1
SAMEA104363401,NA,NA,GCA_001700915.1
SAMEA104363402,NA,NA,GCA_001700915.1
SAMEA104363403,NA,NA,GCA_001700915.1
SAMEA104363404,NA,NA,GCA_001700915.1
SAMEA104363405,NA,NA,GCA_001700915.1
SAMEA104363406,NA,NA,GCA_001700915.1
SAMEA104363408,NA,NA,GCA_001700915.1
SAMEA104363409,NA,NA,GCA_001700915.1
SAMEA104363410,NA,NA,GCA_001700915.1
SAMEA104363411,NA,NA,GCA_001700915.1
SAMEA104363412,NA,NA,GCA_001700915.1
SAMEA104363413,NA,NA,GCA_001700915.1
SAMEA104363414,NA,NA,GCA_001700915.1
SAMEA104363415,NA,NA,GCA_001700915.1
SAMEA104363416,NA,NA,GCA_001700915.1
SAMEA104363417,NA,NA,GCA_001700915.1
SAMEA104363418,NA,NA,GCA_001700915.1
SAMEA104363419,NA,NA,GCA_001700915.1
SAMEA104363420,NA,NA,GCA_001700915.1
SAMEA104363421,NA,NA,GCA_001700915.1
SAMEA104363422,NA,NA,GCA_001700915.1
SAMEA104363407,NA,NA,GCA_001700915.1
