BioSample,refGenome
SAMEA104156767,GCA_016584745.1
SAMEA104156768,GCA_016584745.1
SAMEA104156769,GCA_016584745.1
SAMEA104156770,GCA_016584745.1
SAMEA104156771,GCA_016584745.1
SAMEA104156772,GCA_016584745.1
SAMEA104156773,GCA_016584745.1
SAMEA104156774,GCA_016584745.1
SAMEA104156776,GCA_016584745.1
SAMEA104156775,GCA_016584745.1
SAMEA104157457,GCA_016584745.1
SAMEA104157458,GCA_016584745.1
SAMEA104157459,GCA_016584745.1
SAMEA104157460,GCA_016584745.1
SAMEA104157461,GCA_016584745.1
SAMEA104157462,GCA_016584745.1
SAMEA104157463,GCA_016584745.1
SAMEA104157464,GCA_016584745.1
SAMEA104157465,GCA_016584745.1
SAMEA104157466,GCA_016584745.1
