BioSample,refGenome
SAMEA3532832,GCF_008822105.2
SAMEA3532835,GCF_008822105.2
SAMEA3532836,GCF_008822105.2
SAMEA3532837,GCF_008822105.2
SAMEA3532838,GCF_008822105.2
SAMEA3532839,GCF_008822105.2
SAMEA3532840,GCF_008822105.2
SAMEA3532841,GCF_008822105.2
SAMEA3532842,GCF_008822105.2
SAMEA3532843,GCF_008822105.2
SAMEA3532844,GCF_008822105.2
SAMEA3532845,GCF_008822105.2
SAMEA3532846,GCF_008822105.2
SAMEA3532847,GCF_008822105.2
SAMEA3532848,GCF_008822105.2
SAMEA3532850,GCF_008822105.2
SAMEA3532851,GCF_008822105.2
SAMEA3532833,GCF_008822105.2
SAMEA3532849,GCF_008822105.2
