BioSample,refGenome
SAMN14488541,GCA_009819655.1
SAMN14488539,GCA_009819655.1
SAMN14488538,GCA_009819655.1
SAMN14488537,GCA_009819655.1
SAMN14488536,GCA_009819655.1
SAMN14488535,GCA_009819655.1
SAMN14488534,GCA_009819655.1
SAMN14488533,GCA_009819655.1
SAMN14488532,GCA_009819655.1
SAMN14488531,GCA_009819655.1
SAMN14488459,GCA_009819655.1
SAMN14488530,GCA_009819655.1
SAMN14488529,GCA_009819655.1
SAMN14488528,GCA_009819655.1
SAMN14488527,GCA_009819655.1
SAMN14488526,GCA_009819655.1
SAMN14488525,GCA_009819655.1
SAMN14488524,GCA_009819655.1
SAMN14488523,GCA_009819655.1
SAMN14488522,GCA_009819655.1
SAMN14488458,GCA_009819655.1
SAMN14488520,GCA_009819655.1
SAMN14488519,GCA_009819655.1
SAMN14488518,GCA_009819655.1
SAMN14488517,GCA_009819655.1
SAMN14488516,GCA_009819655.1
SAMN14488515,GCA_009819655.1
SAMN14488514,GCA_009819655.1
SAMN14488513,GCA_009819655.1
SAMN14488511,GCA_009819655.1
SAMN14488457,GCA_009819655.1
SAMN14488510,GCA_009819655.1
SAMN14488509,GCA_009819655.1
SAMN14488508,GCA_009819655.1
SAMN14488507,GCA_009819655.1
SAMN14488506,GCA_009819655.1
SAMN14488505,GCA_009819655.1
SAMN14488504,GCA_009819655.1
SAMN14488503,GCA_009819655.1
SAMN14488502,GCA_009819655.1
SAMN14488501,GCA_009819655.1
SAMN14488456,GCA_009819655.1
SAMN14488500,GCA_009819655.1
SAMN14488499,GCA_009819655.1
SAMN14488498,GCA_009819655.1
SAMN14488497,GCA_009819655.1
SAMN14488496,GCA_009819655.1
SAMN14488495,GCA_009819655.1
SAMN14488494,GCA_009819655.1
SAMN14488492,GCA_009819655.1
SAMN14488491,GCA_009819655.1
SAMN14488455,GCA_009819655.1
SAMN14488490,GCA_009819655.1
SAMN14488489,GCA_009819655.1
SAMN14488487,GCA_009819655.1
SAMN14488486,GCA_009819655.1
SAMN14488485,GCA_009819655.1
SAMN14488484,GCA_009819655.1
SAMN14488483,GCA_009819655.1
SAMN14488482,GCA_009819655.1
SAMN14488481,GCA_009819655.1
SAMN14488454,GCA_009819655.1
SAMN14488480,GCA_009819655.1
SAMN14488479,GCA_009819655.1
SAMN14488478,GCA_009819655.1
SAMN14488477,GCA_009819655.1
SAMN14488476,GCA_009819655.1
SAMN14488475,GCA_009819655.1
SAMN14488474,GCA_009819655.1
SAMN14488473,GCA_009819655.1
SAMN14488472,GCA_009819655.1
SAMN14488471,GCA_009819655.1
SAMN14488453,GCA_009819655.1
SAMN14488470,GCA_009819655.1
SAMN14488469,GCA_009819655.1
SAMN14488468,GCA_009819655.1
SAMN14488467,GCA_009819655.1
SAMN14488465,GCA_009819655.1
SAMN14488464,GCA_009819655.1
SAMN14488463,GCA_009819655.1
SAMN14488462,GCA_009819655.1
SAMN14488560,GCA_009819655.1
SAMN14488559,GCA_009819655.1
SAMN14488558,GCA_009819655.1
SAMN14488557,GCA_009819655.1
SAMN14488556,GCA_009819655.1
SAMN14488555,GCA_009819655.1
SAMN14488554,GCA_009819655.1
SAMN14488553,GCA_009819655.1
SAMN14488552,GCA_009819655.1
SAMN14488550,GCA_009819655.1
SAMN14488549,GCA_009819655.1
SAMN14488548,GCA_009819655.1
SAMN14488547,GCA_009819655.1
SAMN14488546,GCA_009819655.1
SAMN14488545,GCA_009819655.1
SAMN14488543,GCA_009819655.1
SAMN14488542,GCA_009819655.1
SAMN14488551,GCA_009819655.1
SAMN14488461,GCA_009819655.1
SAMN14488452,GCA_009819655.1
SAMN14488451,GCA_009819655.1
SAMN14488493,GCA_009819655.1
SAMN14488460,GCA_009819655.1
SAMN14488488,GCA_009819655.1
SAMN14488544,GCA_009819655.1
SAMN14488466,GCA_009819655.1
SAMN14488521,GCA_009819655.1
SAMN14488512,GCA_009819655.1
SAMN14488540,GCA_009819655.1
