BioSample,refGenome
SAMEA3532857,GCF_008822105.2
SAMEA3532858,GCF_008822105.2
SAMEA3532859,GCF_008822105.2
SAMEA3532860,GCF_008822105.2
SAMEA3532861,GCF_008822105.2
SAMEA3532862,GCF_008822105.2
SAMEA3532863,GCF_008822105.2
SAMEA3532864,GCF_008822105.2
SAMEA3532865,GCF_008822105.2
SAMEA3532866,GCF_008822105.2
SAMEA3532867,GCF_008822105.2
SAMEA3532868,GCF_008822105.2
SAMEA3532869,GCF_008822105.2
SAMEA3532870,GCF_008822105.2
SAMEA3532871,GCF_008822105.2
SAMEA3532872,GCF_008822105.2
SAMEA3532873,GCF_008822105.2
SAMEA3532874,GCF_008822105.2
SAMEA3532875,GCF_008822105.2
