BioSample,refGenome
SAMN10928628,GCF_901000725.2
SAMN10928622,GCF_901000725.2
SAMN10928623,GCF_901000725.2
SAMN10928620,GCF_901000725.2
SAMN10928621,GCF_901000725.2
SAMN10928627,GCF_901000725.2
SAMN10928625,GCF_901000725.2
SAMN10928617,GCF_901000725.2
SAMN10928616,GCF_901000725.2
SAMN10928615,GCF_901000725.2
SAMN10928613,GCF_901000725.2
SAMN10928612,GCF_901000725.2
SAMN10928611,GCF_901000725.2
SAMN10928610,GCF_901000725.2
SAMN10928619,GCF_901000725.2
SAMN10928618,GCF_901000725.2
SAMN10928601,GCF_901000725.2
SAMN10928602,GCF_901000725.2
SAMN10928603,GCF_901000725.2
SAMN10928604,GCF_901000725.2
SAMN10928605,GCF_901000725.2
SAMN10928606,GCF_901000725.2
SAMN10928607,GCF_901000725.2
SAMN10928608,GCF_901000725.2
SAMN10928609,GCF_901000725.2
SAMN10928626,GCF_901000725.2
SAMN10928624,GCF_901000725.2
SAMN10928629,GCF_901000725.2
SAMN10928614,GCF_901000725.2
