Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioSampleModel,sex,Isolate,Collection_date,Tissue,Biomaterial_provider,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,lat_lon,Sample_Name,dev_stage,Ecotype,Strain,AGE,isol_growth_condt,Cultivar,estimated_size,num_replicons,ploidy,propagation,env_biome,env_feature,env_material,locus_tag_prefix,project_name,common_name,date_received,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),FAMILY,material,Order,provider,Submission_identifier,Submission_title,collected_by,Breed,tissue_type,death_date,store_cond,AssemblyName,Host,Sample_Type,bcid,coordinateUncertaintyInMeters,dayCollected,decimallatitude,decimallongitude,Depth,eventID,Genus,georeferenceProtocol,identified_by,locality,materialSampleID,MonthCollected,permitInformation,specificEpithet,YearCollected,dev-stage,env_broad_scale,env_local_scale,env_medium,biotic_relationship,COUNTRY,extrachrom_elements,health_state,host_taxid,Isolation_source,pathogenicity,ref_biomaterial,run (run),samp_collect_device,samp_mat_process,samp_size,sequencing_date (run),Source_material_ID,subspecf_gen_lin,trophic_level
SRR1521190,WGS,202,10006963244,PRJNA255419,SAMN02918462,6577054938,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657784,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_002,SRP044374,Model organism or animal,male,,,liver,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,6/19/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521191,WGS,200,21082182400,PRJNA255419,SAMN02918461,12811254442,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657785,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521192,WGS,200,58582148400,PRJNA255419,SAMN02918461,39912170370,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657786,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521195,WGS,200,58505446400,PRJNA255419,SAMN02918461,39881891496,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657787,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521197,WGS,200,22467073400,PRJNA255419,SAMN02918461,14786053399,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657788,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521198,WGS,200,57173868000,PRJNA255419,SAMN02918461,38550795332,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657789,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521199,WGS,200,30051903200,PRJNA255419,SAMN02918461,21261015003,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657790,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521201,WGS,202,3458141020,PRJNA255419,SAMN02918461,2265774321,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657792,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1521204,WGS,202,9161517494,PRJNA255419,SAMN02918461,5977718696,EMORY UNIVERSITY,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX657793,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Rhincodon typus,ILLUMINA,2015-01-22T00:00:00Z,whaleshark_001,SRP044374,Model organism or animal,male,,,spleen,Georgia Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wild type,,1/7/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR090301,WGS,250,34169883500,PRJNA60893,SAMN00189066,19955012241,MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX036634,Illumina Genome Analyzer II,Leucoraja erinacea Stage 32 Embryonic DNA 500bp Paired-end Library (Delaware Biotechnology Institute),PAIRED,RANDOM,GENOMIC,Leucoraja erinacea,ILLUMINA,2011-12-15T00:00:00Z,MDIBL_LER_Stage32_DNA_1,SRP004931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stage 32 embryo,,,,,,,,,,,,,,,,,,,
