BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Sample_Name	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	ArrayExpress-SPECIES	Subject_ID	Alias	ENA_CHECKLIST
PRJEB15289	ERR1757755	WGS	302	28518492086	SAMEA4033328	12563954654	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1824775	HiSeq X Ten	DN461234K:B11	PAIRED	RANDOM	GENOMIC	Lethrinops_gossei	ILLUMINA	2016-12-15T00:00:00Z	d97a57b0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-13	2018-11-16	2016-12-13	2019-07-23	NA	NA	NA	NA	NA	NA	Lethrinops gossei	NA	NA	NA
PRJEB15289	ERR1757757	WGS	302	31711443560	SAMEA4033302	13587362349	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1824777	HiSeq X Ten	DN461234K:D3	PAIRED	RANDOM	GENOMIC	Tyrannochromis_macrostoma	ILLUMINA	2016-12-15T00:00:00Z	d66a7fa0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-13	2018-11-16	2016-12-13	2019-07-23	NA	NA	NA	NA	NA	NA	Tyrannochromis macrostoma	NA	NA	NA
PRJEB15289	ERR1822247	WGS	302	30183854174	SAMEA4032137	13455733094	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1884749	HiSeq X Ten	DN461234K:E11	PAIRED	RANDOM	GENOMIC	Diplotaxodon_sp._'similis'	ILLUMINA	2017-02-09T00:00:00Z	d9999f80-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2017-02-07	2018-11-16	2017-02-07	2019-07-23	NA	NA	NA	NA	NA	NA	Diplotaxodon similis	NA	NA	NA
PRJEB15289	ERR1822248	WGS	302	32392518490	SAMEA4033330	14197672088	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1884750	HiSeq X Ten	DN461234K:F11	PAIRED	RANDOM	GENOMIC	Dimidiochromis_kiwinge	ILLUMINA	2017-02-09T00:00:00Z	d9a78230-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2017-02-07	2018-11-16	2017-02-07	2019-07-23	NA	NA	NA	NA	NA	NA	Dimidiochromis kiwinge	NA	NA	NA
PRJEB15289	ERR1822249	WGS	302	33157518012	SAMEA4032138	14935772652	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1884751	HiSeq X Ten	DN461234K:G11	PAIRED	RANDOM	GENOMIC	Dimidiochromis_kiwinge	ILLUMINA	2017-02-09T00:00:00Z	d9b45370-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2017-02-07	2018-11-16	2017-02-07	2019-07-23	NA	NA	NA	NA	NA	NA	Dimidiochromis kiwinge	NA	NA	NA
PRJEB15289	ERR1822250	WGS	302	33999548070	SAMEA4033333	15089870049	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1884752	HiSeq X Ten	DN461234K:G12	PAIRED	RANDOM	GENOMIC	Astatotilapia_bloyeti	ILLUMINA	2017-02-09T00:00:00Z	SAMEA4033333	ERP017005	missing	ERS1204443	2017-02-07	2018-11-16	NA	NA	SC	2017-02-07T14:11:37Z	2016-06-14T15:58:44Z	public	ERS1204443	CICHM16429763	NA	NA	e1947840-2348-11e6-a63e-3c4a9275d6c8	ERC000011
PRJEB15289	ERR1822251	WGS	302	38287680196	SAMEA4033334	17216582351	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1884753	HiSeq X Ten	DN461234K:H12	PAIRED	RANDOM	GENOMIC	Astatotilapia_bloyeti	ILLUMINA	2017-02-09T00:00:00Z	SAMEA4033334	ERP017005	missing	ERS1204444	2017-02-07	2018-11-16	NA	NA	SC	2017-02-07T14:11:37Z	2016-06-14T15:58:45Z	public	ERS1204444	CICHM16429764	NA	NA	e1a233e0-2348-11e6-a63e-3c4a9275d6c8	ERC000011
PRJEB15289	ERR1757753	WGS	302	42126610878	SAMEA4033319	17642995189	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1824773	HiSeq X Ten	DN461234K:H7	PAIRED	RANDOM	GENOMIC	Diplotaxodon_sp._'similis'	ILLUMINA	2016-12-15T00:00:00Z	d833a6e0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-13	2018-11-16	2016-12-13	2019-07-23	NA	NA	NA	NA	NA	NA	Diplotaxodon similis large	NA	NA	NA
PRJEB15289	ERR1757754	WGS	302	33996432034	SAMEA4033323	14377428572	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1824774	HiSeq X Ten	DN461234K:H9	PAIRED	RANDOM	GENOMIC	Copadichromis_virginalis	ILLUMINA	2016-12-15T00:00:00Z	d8d760f0-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-13	2018-11-16	2016-12-13	2019-07-23	NA	NA	NA	NA	NA	NA	Copadichromis virginalis	NA	NA	NA
PRJEB15289	ERR1757756	WGS	302	32823767846	SAMEA4033293	14844960793	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX1824776	HiSeq X Ten	DN461233J:H12	PAIRED	RANDOM	GENOMIC	Cyrtocara_moorii	ILLUMINA	2016-12-15T00:00:00Z	d59c8140-2348-11e6-a63e-3c4a9275d6c8	ERP017005	missing	NA	2016-12-13	2018-11-16	2016-12-13	2019-07-23	NA	NA	NA	NA	NA	NA	Cyrtocara moori	NA	NA	NA
