Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	sample_name	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	External_Id	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Submitter_Id	common_name	lat_lon	collected_by	tissue_type	geographic_location_(region_and_locality)
ERR3457546	WGS	250	7072064000	PRJEB33706	SAMEA5816971	2653682986	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479341	Illumina HiSeq 2000	1023	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816971	ERP116519	male	CKW77	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816971	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CKW77	House crow	1.3188893 N 103.8512346 E	Burke Museum of Natural History and Culture\, museum ID UWBM 64922\, tissue number WLK 77	tissue (wing)	Singapore
ERR3457547	WGS	250	7046845250	PRJEB33706	SAMEA5816971	2630195352	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479342	Illumina HiSeq 2000	1024	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816971	ERP116519	male	CKW77	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816971	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CKW77	House crow	1.3188893 N 103.8512346 E	Burke Museum of Natural History and Culture\, museum ID UWBM 64922\, tissue number WLK 77	tissue (wing)	Singapore
ERR3457548	WGS	250	6457277750	PRJEB33706	SAMEA5816972	2440810229	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479343	Illumina HiSeq 2000	1033	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816972	ERP116519	missing	CROW12	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816972	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CROW12	white-billed crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	heart, liver, muscle	Solomon Islands\, Santa Isabel
ERR3457549	WGS	250	6437773000	PRJEB33706	SAMEA5816972	2420795991	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479344	Illumina HiSeq 2000	1034	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816972	ERP116519	missing	CROW12	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816972	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CROW12	white-billed crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	heart, liver, muscle	Solomon Islands\, Santa Isabel
ERR3457550	WGS	250	6642913000	PRJEB33706	SAMEA5816973	2512179786	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479345	Illumina HiSeq 2000	1035	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816973	ERP116519	missing	CROWR21	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816973	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CROWR21	white-billed crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	heart, liver, muscle	Solomon Islands\, Santa Isabel
ERR3457551	WGS	250	6610943500	PRJEB33706	SAMEA5816973	2490637196	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479346	Illumina HiSeq 2000	1036	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816973	ERP116519	missing	CROWR21	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816973	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CROWR21	white-billed crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	heart, liver, muscle	Solomon Islands\, Santa Isabel
ERR3457552	WGS	250	6998947500	PRJEB33706	SAMEA5816974	2628030243	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479347	Illumina HiSeq 2000	1025	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816974	ERP116519	missing	CSW7069	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816974	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CSW7069	House crow	1.296022 N 103.85187 E	Burke Museum of Natural History and Culture\, museum ID UWBM 83498\, tissue number CSW 7069	tissue	Singapore
ERR3457553	WGS	250	6968367500	PRJEB33706	SAMEA5816974	2603851467	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479348	Illumina HiSeq 2000	1026	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816974	ERP116519	missing	CSW7069	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816974	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	CSW7069	House crow	1.296022 N 103.85187 E	Burke Museum of Natural History and Culture\, museum ID UWBM 83498\, tissue number CSW 7069	tissue	Singapore
ERR3457554	WGS	250	6482173000	PRJEB33706	SAMEA5816975	2473334066	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479349	Illumina HiSeq 2000	1027	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816975	ERP116519	male	EVL981	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816975	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	EVL981	House crow	1.3519654 N 103.9922047 E	Burke Museum of Natural History and Culture\, museum ID UWBM 83598\, tissue number EVL 981	tissue (wing)	Singapore
ERR3457555	WGS	250	6453660500	PRJEB33706	SAMEA5816975	2452426367	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479350	Illumina HiSeq 2000	1028	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816975	ERP116519	male	EVL981	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816975	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	EVL981	House crow	1.3519654 N 103.9922047 E	Burke Museum of Natural History and Culture\, museum ID UWBM 83598\, tissue number EVL 981	tissue (wing)	Singapore
ERR3457556	WGS	180	33628045140	PRJEB33706	SAMEA5816976	26985900626	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479351	Illumina HiSeq 2000	1001	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816976	ERP116519	male	FS66096	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816976	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	FS66096	New Caledonian crow	21.599064 S 165.401557 E	Christian Rutz\, University of St Andrews\, UK	blood	New Caledonia
ERR3457557	WGS	180	23386598460	PRJEB33706	SAMEA5816976	18553762570	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479352	Illumina HiSeq 2000	1002	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816976	ERP116519	male	FS66096	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816976	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	FS66096	New Caledonian crow	21.599064 S 165.401557 E	Christian Rutz\, University of St Andrews\, UK	blood	New Caledonia
ERR3457558	WGS	250	6745072750	PRJEB33706	SAMEA5816977	2527683491	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479353	Illumina HiSeq 2000	1029	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816977	ERP116519	male	LKW131	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816977	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	LKW131	House crow	1.3188893 N 103.8512346 E	Burke Museum of Natural History and Culture\, museum ID UWBM 64916\, tissue number WLK 131	tissue (wing)	Singapore
ERR3457559	WGS	250	6709228000	PRJEB33706	SAMEA5816977	2503050384	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479354	Illumina HiSeq 2000	1030	PAIRED	RANDOM	GENOMIC	Corvus_splendens	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816977	ERP116519	male	LKW131	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816977	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	LKW131	House crow	1.3188893 N 103.8512346 E	Burke Museum of Natural History and Culture\, museum ID UWBM 64916\, tissue number WLK 131	tissue (wing)	Singapore
ERR3457560	WGS	200	4136535000	PRJEB33706	SAMEA5816978	1930419363	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479355	Illumina HiSeq 2000	1015	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816978	ERP116519	missing	MLK164	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816978	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	MLK164	white-billed crow	NA	American Museum of Natural History\, museum ID AMNH DOT6705	muscle	Solomon Islands\, Guadalcanal
ERR3457561	WGS	200	3764129400	PRJEB33706	SAMEA5816978	1750144716	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479356	Illumina HiSeq 2000	1016	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816978	ERP116519	missing	MLK164	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816978	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	MLK164	white-billed crow	NA	American Museum of Natural History\, museum ID AMNH DOT6705	muscle	Solomon Islands\, Guadalcanal
ERR3457562	WGS	200	4261694400	PRJEB33706	SAMEA5816979	1990340025	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479357	Illumina HiSeq 2000	1017	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816979	ERP116519	missing	MLK166	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816979	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	MLK166	white-billed crow	NA	American Museum of Natural History\, museum ID AMNH DOT6707	muscle	Solomon Islands\, Guadalcanal
ERR3457563	WGS	200	3940171000	PRJEB33706	SAMEA5816979	1835742927	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479358	Illumina HiSeq 2000	1018	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816979	ERP116519	missing	MLK166	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816979	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	MLK166	white-billed crow	NA	American Museum of Natural History\, museum ID AMNH DOT6707	muscle	Solomon Islands\, Guadalcanal
ERR3457564	WGS	200	5609294800	PRJEB33706	SAMEA5816980	2606958805	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479359	Illumina HiSeq 2000	1013	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816980	ERP116519	missing	MLK92	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816980	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	MLK92	white-billed crow	NA	American Museum of Natural History\, museum ID AMNH DOT6634	muscle	Solomon Islands\, Santa Isabel
ERR3457565	WGS	200	5130108600	PRJEB33706	SAMEA5816980	2375199127	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479360	Illumina HiSeq 2000	1014	PAIRED	RANDOM	GENOMIC	Corvus_woodfordi	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816980	ERP116519	missing	MLK92	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816980	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	MLK92	white-billed crow	NA	American Museum of Natural History\, museum ID AMNH DOT6634	muscle	Solomon Islands\, Santa Isabel
ERR3457566	WGS	200	16070136000	PRJEB33706	SAMEA5816981	6772687367	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479361	Illumina HiSeq 2000	1005	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816981	ERP116519	female	NC3	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816981	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC3	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
ERR3457567	WGS	200	14130414400	PRJEB33706	SAMEA5816981	6009223769	EVOLUTIONARY BIOLOGY CENTRE, UPPSALA UNIVERSITY	public	sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX3479362	Illumina HiSeq 2000	1006	PAIRED	RANDOM	GENOMIC	Corvus_moneduloides	ILLUMINA	2019-10-02T00:00:00Z	SAMEA5816981	ERP116519	female	NC3	2019-09-25	2019-09-25	2019-07-30	2019-07-29	SAMEA5816981	Evolutionary Biology Centre\, Uppsala University	Evolutionary Biology Centre\, Uppsala University	2019-09-25T04:46:35Z	2019-07-29T13:08:34Z	public	NC3	New Caledonian crow	NA	Gavin Hunt\, stored at Department of Anatomy\, University of Otago	blood	New Caledonia\, Mar?
