Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Isolate	COUNTRY	actual_read_length (run)	center_name (exp)	Run (run)	total_bases (run)
SRR944630	WGS	98	11920855632	PRJNA212869	SAMN02297499	7126566613	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329027	Illumina HiSeq 2000	G10cloDABDLAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	49	BGI	FCD0CEHABXX	11920855632
SRR944631	WGS	98	5769544690	PRJNA212869	SAMN02297499	3054080324	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329028	Illumina HiSeq 2000	G10cloDABDUAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	49	BGI	FCB01AKABXX	5769544690
SRR944632	WGS	98	12342456434	PRJNA212869	SAMN02297499	7432889227	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329029	Illumina HiSeq 2000	G10cloDABDWAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	49	BGI	FCB05B8ABXX	12342456434
SRR944633	WGS	200	21172230800	PRJNA212869	SAMN02297499	13065013157	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329030	Illumina HiSeq 2000	G10cloDALDBAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	100	BGI	FCB05KEABXX	21172230800
SRR944634	WGS	200	19604615600	PRJNA212869	SAMN02297499	12029380045	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329031	Illumina HiSeq 2000	G10cloDALDBABPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	100	BGI	FCB05KEABXX	19604615600
SRR944635	WGS	200	18685869600	PRJNA212869	SAMN02297499	11748207606	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329032	Illumina HiSeq 2000	G10cloDALDIAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	100	BGI	FCB05KEABXX	18685869600
SRR944636	WGS	98	10075884896	PRJNA212869	SAMN02297499	5826488137	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329033	Illumina HiSeq 2000	G10cloDALDLAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	49	BGI	FC81PAFABXX	10075884896
SRR944637	WGS	200	14421447200	PRJNA212869	SAMN02297499	9115314619	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329034	Illumina HiSeq 2000	G10cloDALDMAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	100	BGI	FCB05KEABXX	14421447200
SRR944638	WGS	98	8536747660	PRJNA212869	SAMN02297499	4891272155	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329035	Illumina HiSeq 2000	G10cloDALDTAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	49	BGI	FC81MK9ABXX	8536747660
SRR944639	WGS	98	10084308878	PRJNA212869	SAMN02297499	5975862215	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX329036	Illumina HiSeq 2000	G10cloDALDWAAPE	PAIRED	PCR	GENOMIC	Corvus_brachyrhynchos	ILLUMINA	2015-07-22T00:00:00Z	BGI_N302	SRP028317	female	BGI_N302	USA	49	BGI	FCB05W1ABXX	10084308878
