BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	Strain	isolation-source
PRJNA238429	SRR1171023	WGS	267	23828844570	SAMN02404645	16576439459	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472127	Illumina Genome Analyzer II	Paired-end	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2014-02-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171024	WGS	302	37926732816	SAMN02404645	23657955584	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472127	Illumina Genome Analyzer II	Paired-end	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171025	WGS	302	28158573922	SAMN02404645	17588509460	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472127	Illumina Genome Analyzer II	Paired-end	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171306	WGS	202	21803482060	SAMN02404645	15280495653	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472405	Illumina HiSeq 2000	library_Guanapo inbreed strain	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171308	WGS	285	31651217538	SAMN02404645	20140138925	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472406	Illumina Genome Analyzer II	Mate pair	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2014-02-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171309	WGS	302	12757191814	SAMN02404645	6848677522	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472406	Illumina Genome Analyzer II	Mate pair	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171310	WGS	302	8836463828	SAMN02404645	5395182157	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472406	Illumina Genome Analyzer II	Mate pair	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171311	WGS	302	11422269972	SAMN02404645	7003354203	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472406	Illumina Genome Analyzer II	Mate pair	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171312	WGS	302	8462515046	SAMN02404645	5074212777	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472406	Illumina Genome Analyzer II	Mate pair	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
PRJNA238429	SRR1171313	WGS	302	24692477944	SAMN02404645	13874633603	MPI-DB	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX472406	Illumina Genome Analyzer II	Mate pair	PAIRED	size fractionation	GENOMIC	Poecilia_reticulata	ILLUMINA	2015-07-22T00:00:00Z	Guanapo inbreed strain	SRP038017	female	Guanapo	inbred female from a population that was originally collected from the Guanapo drainage in Trinidad in 2010
