BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Strain	Breed	Cultivar	run (run)	actual_read_length (run)	total_bases (run)
PRJNA339911	SRR5460167	WGS	180	23427710820	SAMN06756386	15745546806	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748182	Illumina HiSeq 2000	wHAIPI012741-32	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_female_5	SRP104331	Model organism or animal	female	blood	not applicable	missing	young	not applicable	5	not applicable	not applicable	not applicable	FCC5WBDACXX	91	4311219406676
PRJNA339911	SRR5460168	WGS	180	20895939360	SAMN06756401	13925304146	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748183	Illumina HiSeq 2000	wHAIPI012742-33	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_male_5	SRP104331	Model organism or animal	male	blood	not applicable	missing	young	not applicable	20	not applicable	not applicable	not applicable	FCC5WBDACXX	91	3845317196448
PRJNA339911	SRR5460169	WGS	180	20439431100	SAMN06756387	13770008250	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748184	Illumina HiSeq 2000	wHAIPI012743-34	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_male_1	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	6	not applicable	not applicable	not applicable	FCC5WBDACXX	91	3761309531980
PRJNA339911	SRR5460170	WGS	180	22179378060	SAMN06756392	14921856527	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748185	Illumina HiSeq 2000	wHAIPI012744-35	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_female_1	SRP104331	Model organism or animal	female	blood	not applicable	missing	adult	not applicable	11	not applicable	not applicable	not applicable	FCC5WBDACXX	91	4081498438108
PRJNA339911	SRR5460171	WGS	180	22238502120	SAMN06756384	14938437181	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748186	Illumina HiSeq 2000	wHAIPI012737-26	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_female_3	SRP104331	Model organism or animal	female	blood	not applicable	missing	young	not applicable	3	not applicable	not applicable	not applicable	FCC5WBDACXX	91	4092378579016
PRJNA339911	SRR5460172	WGS	180	21462205680	SAMN06756399	14411699081	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748187	Illumina HiSeq 2000	wHAIPI012738-29	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_male_3	SRP104331	Model organism or animal	male	blood	not applicable	missing	young	not applicable	18	not applicable	not applicable	not applicable	FCC5WBDACXX	91	3949522783024
PRJNA339911	SRR5460173	WGS	180	21701876580	SAMN06756385	14649515333	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748188	Illumina HiSeq 2000	wHAIPI012739-30	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_female_4	SRP104331	Model organism or animal	female	blood	not applicable	missing	young	not applicable	4	not applicable	not applicable	not applicable	FCC5WBDACXX	91	3993627554644
PRJNA339911	SRR5460174	WGS	180	22917262500	SAMN06756400	15445980754	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748189	Illumina HiSeq 2000	wHAIPI012740-31	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_marron_male_4	SRP104331	Model organism or animal	male	blood	not applicable	missing	young	not applicable	19	not applicable	not applicable	not applicable	FCC5WBDACXX	91	4217285572500
PRJNA339911	SRR5460175	WGS	180	24365784600	SAMN06756390	16219952446	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748190	Illumina HiSeq 2000	wHAIPI012749-43	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_male_4	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	9	not applicable	not applicable	not applicable	FCC5W5GACXX	91	4483845828280
PRJNA339911	SRR5460177	WGS	180	27996336900	SAMN06756391	18591433390	BGI	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2748192	Illumina HiSeq 2000	wHAIPI012751-47	PAIRED	other	GENOMIC	Coturnix_japonica	ILLUMINA	2018-04-10T00:00:00Z	Coturnix japonica_yellow_male_5	SRP104331	Model organism or animal	male	blood	not applicable	missing	adult	not applicable	10	not applicable	not applicable	not applicable	FCC5W5GACXX	91	5151948130420
