BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Strain	Breed	Cultivar	Individual
PRJNA353986	SRR5034718	WGS	200	26046237000	SAMN06036149	11296207960	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359313	Illumina HiSeq 4000	5	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J001_Aripo_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	5
PRJNA353986	SRR5034719	WGS	200	25913349600	SAMN06036166	10965847244	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359314	Illumina HiSeq 4000	22	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J042_Yarra_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	22
PRJNA353986	SRR5034721	WGS	200	28011765600	SAMN06036154	11784076022	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359316	Illumina HiSeq 4000	10	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J013_Yarra_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	10
PRJNA353986	SRR5034722	WGS	200	28760126600	SAMN06036152	12296370698	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359317	Illumina HiSeq 4000	8	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J005_Aripo_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	8
PRJNA353986	SRR5034725	WGS	200	25398787000	SAMN06036157	11229256921	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359320	Illumina HiSeq 4000	13	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J016_Quare_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	13
PRJNA353986	SRR5034726	WGS	200	20796965000	SAMN06036168	9077201511	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359321	Illumina HiSeq 4000	24	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J044_Yarra_high	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	24
PRJNA353986	SRR5034727	WGS	200	25374069600	SAMN06036162	10932969373	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359322	Illumina HiSeq 4000	18	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J033_Aripo_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	18
PRJNA353986	SRR5034728	WGS	200	20566807000	SAMN06036156	8916453842	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359323	Illumina HiSeq 4000	12	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J015_Yarra_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	12
PRJNA353986	SRR5034730	WGS	200	52478476400	SAMN06036146	24569861912	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359325	Illumina HiSeq 4000	2	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Female_07_lab	SRP093523	Model organism or animal	female	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	2
PRJNA353986	SRR5034731	WGS	200	32031301000	SAMN06036172	13393666635	UNIVERSITY COLLEGE LONDON	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX2359326	Illumina HiSeq 4000	28	PAIRED	unspecified	GENOMIC	Poecilia_reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_J054_Quare_low	SRP093523	Model organism or animal	male	head	not applicable	adult	adult	not applicable	not applicable	not applicable	not applicable	28
