BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	Isolate	dev_stage	AGE	Ecotype	Biomaterial_provider	Strain	Cultivar	PHENOTYPE
PRJNA485717	SRR7688051	WGS	302	2267419926	SAMN09813050	1130329023	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548434	Illumina HiSeq 2500	OBSM297_MInd2	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM297	SRP157620	Model organism or animal	unknown	fin	OBSM297_MInd2	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688053	WGS	302	2445200380	SAMN09813052	1239547983	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548432	Illumina HiSeq 2500	OBSM299_MInd4	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM299	SRP157620	Model organism or animal	unknown	fin	OBSM299_MInd4	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688056	WGS	302	2136307532	SAMN09813053	1087483993	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548429	Illumina HiSeq 2500	OBSM302_MInd5	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM302	SRP157620	Model organism or animal	unknown	fin	OBSM302_MInd5	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688057	WGS	302	1969434110	SAMN09813056	988272786	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548428	Illumina HiSeq 2500	OBSM635_MInd8	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM635	SRP157620	Model organism or animal	unknown	fin	OBSM635_MInd8	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688059	WGS	302	2336821942	SAMN09813058	1184446636	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548426	Illumina HiSeq 2500	OBSM637_MInd10	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM637	SRP157620	Model organism or animal	unknown	fin	OBSM637_MInd10	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688060	WGS	302	1725854198	SAMN09813057	880281875	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548425	Illumina HiSeq 2500	OBSM636_MInd9	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM636	SRP157620	Model organism or animal	unknown	fin	OBSM636_MInd9	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688063	WGS	302	2052273012	SAMN09813068	1037441217	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548422	Illumina HiSeq 2500	OBSM722_MInd20	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM722	SRP157620	Model organism or animal	unknown	fin	OBSM722_MInd20	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688069	WGS	302	1952301952	SAMN09813062	985500316	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548416	Illumina HiSeq 2500	OBSM645_MInd14	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM645	SRP157620	Model organism or animal	unknown	fin	OBSM645_MInd14	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688070	WGS	302	2364470948	SAMN09813061	1196912248	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548415	Illumina HiSeq 2500	OBSM644_MInd13	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM644	SRP157620	Model organism or animal	unknown	fin	OBSM644_MInd13	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
PRJNA485717	SRR7688071	WGS	302	2536511892	SAMN09813060	1304200368	UNIVERSITY OF BASEL	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX4548414	Illumina HiSeq 2500	OBSM643_MInd12	PAIRED	unspecified	GENOMIC	Gasterosteus_aculeatus	ILLUMINA	2018-08-13T00:00:00Z	OBSM643	SRP157620	Model organism or animal	unknown	fin	OBSM643_MInd12	not applicable	not applicable	marine	WGS	not applicable	not applicable	not applicable
