BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	AGE	Ecotype	Biomaterial_provider	Strain	Genotype
PRJNA628166	SRR11638505	WGS	300	31952731500	SAMN14732662	15692982175	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202395	Illumina HiSeq 3000	AT211267	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT211267	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT211267
PRJNA628166	SRR11638506	WGS	300	14067354000	SAMN14732661	6554965450	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202394	Illumina HiSeq 3000	AT211069	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT211069	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT211069
PRJNA628166	SRR11638508	WGS	300	37830988200	SAMN14732659	17853386459	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202392	Illumina HiSeq 3000	AT207193	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	AT207193	SRP259113	Model organism or animal	male	sperm	Adult	Atlantic	IFREMER	Atlantic	AT207193
PRJNA628166	SRR11638509	WGS	300	31552020900	SAMN14732712	13643901550	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202391	Illumina HiSeq 3000	WME97522	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WME97522	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WME97522
PRJNA628166	SRR11638510	WGS	300	14988417600	SAMN14732711	6799620011	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202390	Illumina HiSeq 3000	WME78204	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WME78204	SRP259113	Model organism or animal	unknown	fin	Adult	Mediterranean	IFREMER	Mediterranean	WME78204
PRJNA628166	SRR11638511	WGS	300	19364340900	SAMN14732710	8538155664	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202389	Illumina HiSeq 3000	WM204910	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WM204910	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WM204910
PRJNA628166	SRR11638512	WGS	300	22987161600	SAMN14732709	10103900225	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202388	Illumina HiSeq 3000	WM103016	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WM103016	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WM103016
PRJNA628166	SRR11638513	WGS	300	21788678100	SAMN14732708	9565238458	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202387	Illumina HiSeq 3000	WM102209	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WM102209	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WM102209
PRJNA628166	SRR11638514	WGS	300	17044444500	SAMN14732707	7835396007	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202386	Illumina HiSeq 3000	WM101174	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WM101174	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WM101174
PRJNA628166	SRR11638515	WGS	300	20702457000	SAMN14732706	9139811136	UNIVERSITE DE MONTPELLIER	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8202385	Illumina HiSeq 3000	WM098577	PAIRED	RANDOM	GENOMIC	Dicentrarchus_labrax	ILLUMINA	2020-04-29T00:00:00Z	WM098577	SRP259113	Model organism or animal	male	sperm	Adult	Mediterranean	IFREMER	Mediterranean	WM098577
