BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Breed
PRJNA686418	SRR13381402	WGS	300	52188172800	SAMN17255110	16590075578	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9804327	Illumina HiSeq 2000	BDSW200013103	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-07T00:00:00Z	Yamal5	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13275271	WGS	300	53363207100	SAMN17118395	17296680004	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9705097	Illumina HiSeq 2000	H3322DSXY	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Kola2	SRP298505	Model organism or animal	unknown	Blood	NA	2 months	wild
PRJNA686418	SRR13275722	WGS	200	12112287200	SAMN17118869	9037194724	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9705548	Illumina HiSeq 2000	FALjfjRAMDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Kola3	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13298315	WGS	300	58502409900	SAMN17150318	19261123542	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9727248	Illumina HiSeq 2000	H3C5MDSXY	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-28T00:00:00Z	Kolguev4	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13299792	WGS	300	59375257200	SAMN17150848	19741120113	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9728714	Illumina HiSeq 2000	H3C5MDSXY	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-28T00:00:00Z	Kolguev3	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13284710	WGS	200	6206730000	SAMN17132314	4746587365	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9714061	Illumina HiSeq 2000	FALjfjRAYDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-22T00:00:00Z	Kolyma7	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13284718	WGS	200	6188410800	SAMN17132232	4664640977	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9714069	Illumina HiSeq 2000	FALjfjRAVDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-22T00:00:00Z	Kolyma4	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13284738	WGS	200	6166893200	SAMN17132259	4703477435	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9714089	Illumina HiSeq 2000	FALjfjRAXDIABPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-22T00:00:00Z	Kolyma6	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13284741	WGS	200	5981365400	SAMN17132315	4474873341	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9714092	Illumina HiSeq 2000	FALjfjRAZDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-22T00:00:00Z	Kolyma8	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13285863	WGS	200	6179481200	SAMN17134049	4676343881	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9715214	Illumina HiSeq 2000	FALjfjRBBDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-22T00:00:00Z	Yamal2	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13291694	WGS	200	6218772000	SAMN17141464	4633721567	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9720704	Illumina HiSeq 2000	FALjfjRBADIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-23T00:00:00Z	Kolyma9	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13291718	WGS	200	5050037400	SAMN17141518	3807647520	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9720728	Illumina HiSeq 2000	FALjfjRATDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-23T00:00:00Z	Kolyma-2	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13291719	WGS	200	6214825000	SAMN17141580	4637626449	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9720729	Illumina HiSeq 2000	FALjfjRAUDIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-23T00:00:00Z	Kolyma-3	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13306816	WGS	300	60577080300	SAMN17154545	20176270694	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9734812	Illumina HiSeq 2000	H3C5MDSXY	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2021-01-01T00:00:00Z	Kolguev5	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	Wild
PRJNA686418	SRR13277387	WGS	200	4737764200	SAMN17120643	3559128733	INSTITUTE OF ZOOLOGY	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX9707192	Illumina HiSeq 2000	FALjfjRAODIAAPEI	PAIRED	RANDOM	GENOMIC	Falco_peregrinus	ILLUMINA	2020-12-21T00:00:00Z	Kola5	SRP298505	Model organism or animal	unknown	Blood	Juvenile	NA	wild
