BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies
PRJEB38173,SAMEA6815700,Amphilophus_globosus,missing,Apo_cl4_d_ben_03960,CL Apoyo,2003,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815702,Amphilophus_globosus,missing,Apo_cl4_d_ben_07692,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815703,Amphilophus_globosus,missing,Apo_cl4_d_ben_07693,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815704,Amphilophus_globosus,missing,Apo_cl4_d_ben_07701,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815705,Amphilophus_globosus,missing,Apo_cl4_d_ben_12443,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815706,Amphilophus_globosus,missing,Apo_cl4_d_ben_12553,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815707,Amphilophus_globosus,missing,Apo_cl4_d_ben_12554,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815708,Amphilophus_globosus,missing,Apo_cl4_d_ben_12556,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815709,Amphilophus_globosus,missing,Apo_cl4_d_ben_13504,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815710,Amphilophus_globosus,missing,Apo_cl4_d_ben_13686,CL Apoyo,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815712,Amphilophus_globosus,missing,Apo_cl4_d_ben_18037,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815713,Amphilophus_globosus,missing,Apo_cl4_d_ben_18442,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815714,Amphilophus_globosus,missing,Apo_cl4_d_ben_18443,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815715,Amphilophus_globosus,missing,Apo_cl4_d_ben_18444,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815733,Amphilophus_globosus,missing,Apo_glo_d_ben_MO618,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815734,Amphilophus_globosus,missing,Apo_glo_d_ben_MO621,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815737,Amphilophus_globosus,missing,Apo_glo_d_ben_MO627,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815738,Amphilophus_globosus,missing,Apo_glo_d_ben_MO630,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815739,Amphilophus_globosus,missing,Apo_glo_d_ben_MO631,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815740,Amphilophus_globosus,missing,Apo_glo_d_ben_MO636,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815741,Amphilophus_globosus,missing,Apo_glo_d_ben_MO640,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815742,Amphilophus_globosus,missing,Apo_glo_d_ben_MO642,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815735,Amphilophus_globosus,missing,Apo_glo_d_ben_MO622,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815701,Amphilophus_globosus,missing,Apo_cl4_d_ben_07691,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6815736,Amphilophus_globosus,missing,Apo_glo_d_ben_MO625,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus
