BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815880,library_SAMEA6815880,GCA_013435755.1,ERR4189891,Amphilophus_labiatus,PRJEB38173
SAMEA6815881,library_SAMEA6815881,GCA_013435755.1,ERR4189892,Amphilophus_labiatus,PRJEB38173
SAMEA6815882,library_SAMEA6815882,GCA_013435755.1,ERR4189893,Amphilophus_labiatus,PRJEB38173
SAMEA6815883,library_SAMEA6815883,GCA_013435755.1,ERR4189894,Amphilophus_labiatus,PRJEB38173
SAMEA6815884,library_SAMEA6815884,GCA_013435755.1,ERR4189895,Amphilophus_labiatus,PRJEB38173
SAMEA6815885,library_SAMEA6815885,GCA_013435755.1,ERR4189896,Amphilophus_labiatus,PRJEB38173
SAMEA6815886,library_SAMEA6815886,GCA_013435755.1,ERR4189897,Amphilophus_labiatus,PRJEB38173
SAMEA6815887,library_SAMEA6815887,GCA_013435755.1,ERR4189898,Amphilophus_labiatus,PRJEB38173
SAMEA6815888,library_SAMEA6815888,GCA_013435755.1,ERR4189899,Amphilophus_labiatus,PRJEB38173
SAMEA6815889,library_SAMEA6815889,GCA_013435755.1,ERR4189900,Amphilophus_labiatus,PRJEB38173
SAMEA6815890,library_SAMEA6815890,GCA_013435755.1,ERR4189901,Amphilophus_labiatus,PRJEB38173
SAMEA6815891,library_SAMEA6815891,GCA_013435755.1,ERR4189902,Amphilophus_labiatus,PRJEB38173
SAMEA6815892,library_SAMEA6815892,GCA_013435755.1,ERR4189903,Amphilophus_labiatus,PRJEB38173
SAMEA6815893,library_SAMEA6815893,GCA_013435755.1,ERR4189904,Amphilophus_labiatus,PRJEB38173
SAMEA6815894,library_SAMEA6815894,GCA_013435755.1,ERR4189905,Amphilophus_labiatus,PRJEB38173
SAMEA6815895,library_SAMEA6815895,GCA_013435755.1,ERR4189906,Amphilophus_labiatus,PRJEB38173
SAMEA6815896,library_SAMEA6815896,GCA_013435755.1,ERR4189907,Amphilophus_labiatus,PRJEB38173
SAMEA6815897,library_SAMEA6815897,GCA_013435755.1,ERR4189908,Amphilophus_labiatus,PRJEB38173
SAMEA6815898,library_SAMEA6815898,GCA_013435755.1,ERR4189909,Amphilophus_labiatus,PRJEB38173
SAMEA6815899,library_SAMEA6815899,GCA_013435755.1,ERR4189910,Amphilophus_labiatus,PRJEB38173
SAMEA6815900,library_SAMEA6815900,GCA_013435755.1,ERR4189911,Amphilophus_labiatus,PRJEB38173
SAMEA6815901,library_SAMEA6815901,GCA_013435755.1,ERR4189912,Amphilophus_labiatus,PRJEB38173
SAMEA6815902,library_SAMEA6815902,GCA_013435755.1,ERR4189913,Amphilophus_labiatus,PRJEB38173
SAMEA6815968,library_SAMEA6815968,GCA_013435755.1,ERR4189979,Amphilophus_labiatus,PRJEB38173
SAMEA6815970,library_SAMEA6815970,GCA_013435755.1,ERR4189981,Amphilophus_labiatus,PRJEB38173
SAMEA6815971,library_SAMEA6815971,GCA_013435755.1,ERR4189982,Amphilophus_labiatus,PRJEB38173
SAMEA6815972,library_SAMEA6815972,GCA_013435755.1,ERR4189983,Amphilophus_labiatus,PRJEB38173
SAMEA6815973,library_SAMEA6815973,GCA_013435755.1,ERR4189984,Amphilophus_labiatus,PRJEB38173
SAMEA6815974,library_SAMEA6815974,GCA_013435755.1,ERR4189985,Amphilophus_labiatus,PRJEB38173
SAMEA6815975,library_SAMEA6815975,GCA_013435755.1,ERR4189986,Amphilophus_labiatus,PRJEB38173
SAMEA6815976,library_SAMEA6815976,GCA_013435755.1,ERR4189987,Amphilophus_labiatus,PRJEB38173
SAMEA6815977,library_SAMEA6815977,GCA_013435755.1,ERR4189988,Amphilophus_labiatus,PRJEB38173
SAMEA6815978,library_SAMEA6815978,GCA_013435755.1,ERR4189989,Amphilophus_labiatus,PRJEB38173
SAMEA6815979,library_SAMEA6815979,GCA_013435755.1,ERR4189990,Amphilophus_labiatus,PRJEB38173
SAMEA6815980,library_SAMEA6815980,GCA_013435755.1,ERR4189991,Amphilophus_labiatus,PRJEB38173
SAMEA6815981,library_SAMEA6815981,GCA_013435755.1,ERR4189992,Amphilophus_labiatus,PRJEB38173
SAMEA6815983,library_SAMEA6815983,GCA_013435755.1,ERR4189994,Amphilophus_labiatus,PRJEB38173
SAMEA6815984,library_SAMEA6815984,GCA_013435755.1,ERR4189995,Amphilophus_labiatus,PRJEB38173
SAMEA6815985,library_SAMEA6815985,GCA_013435755.1,ERR4189996,Amphilophus_labiatus,PRJEB38173
SAMEA6815986,library_SAMEA6815986,GCA_013435755.1,ERR4189997,Amphilophus_labiatus,PRJEB38173
SAMEA6815987,library_SAMEA6815987,GCA_013435755.1,ERR4189998,Amphilophus_labiatus,PRJEB38173
SAMEA6815988,library_SAMEA6815988,GCA_013435755.1,ERR4189999,Amphilophus_labiatus,PRJEB38173
SAMEA6815989,library_SAMEA6815989,GCA_013435755.1,ERR4190000,Amphilophus_labiatus,PRJEB38173
