BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies
PRJEB38173,SAMEA6816033,Amphilophus_sagittae,missing,Xil_sag_d_lim_00535,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816034,Amphilophus_sagittae,missing,Xil_sag_d_lim_00862,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816036,Amphilophus_sagittae,missing,Xil_sag_d_lim_00879,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816038,Amphilophus_sagittae,missing,Xil_sag_d_lim_00884,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816039,Amphilophus_sagittae,missing,Xil_sag_d_lim_07639,CL Xiloá,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816040,Amphilophus_sagittae,missing,Xil_sag_d_lim_07710,CL Xiloá,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816041,Amphilophus_sagittae,missing,Xil_sag_d_lim_07785,CL Xiloá,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816042,Amphilophus_sagittae,missing,Xil_sag_d_lim_13008,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816043,Amphilophus_sagittae,missing,Xil_sag_d_lim_13032,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816044,Amphilophus_sagittae,missing,Xil_sag_d_lim_13065,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816045,Amphilophus_sagittae,missing,Xil_sag_d_lim_13066,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816046,Amphilophus_sagittae,missing,Xil_sag_d_lim_13067,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816048,Amphilophus_sagittae,missing,Xil_sag_d_lim_13166,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816049,Amphilophus_sagittae,missing,Xil_sag_d_lim_13173,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816050,Amphilophus_sagittae,missing,Xil_sag_d_lim_17976,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816051,Amphilophus_sagittae,missing,Xil_sag_d_lim_19498,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816052,Amphilophus_sagittae,missing,Xil_sag_g_lim_07709,CL Xiloá,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816053,Amphilophus_sagittae,missing,Xil_sag_g_lim_07786,CL Xiloá,2014,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816054,Amphilophus_sagittae,missing,Xil_sag_g_lim_13137,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816055,Amphilophus_sagittae,missing,Xil_sag_g_lim_17980,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816085,Amphilophus_sagittae,missing,Xil_xil_d_ben_13034,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816090,Amphilophus_sagittae,missing,Xil_xil_d_ben_13446,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816092,Amphilophus_sagittae,missing,Xil_xil_d_ben_19484,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816093,Amphilophus_sagittae,missing,Xil_xil_d_ben_19493,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816105,Amphilophus_sagittae,missing,Xil_xil_g_ben_17981,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816106,Amphilophus_sagittae,missing,Xil_xil_g_ben_19488,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus
PRJEB38173,SAMEA6816047,Amphilophus_sagittae,missing,Xil_sag_d_lim_13070,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus
