BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815782,library_SAMEA6815782,GCA_013435755.1,ERR4189793,Amphilophus_spp,PRJEB38173
SAMEA6815816,library_SAMEA6815816,GCA_013435755.1,ERR4189827,Amphilophus_spp,PRJEB38173
SAMEA6815915,library_SAMEA6815915,GCA_013435755.1,ERR4189926,Amphilophus_spp,PRJEB38173
SAMEA6815682,library_SAMEA6815682,GCA_013435755.1,ERR4189693,Amphilophus_spp,PRJEB38173
SAMEA6815684,library_SAMEA6815684,GCA_013435755.1,ERR4189695,Amphilophus_spp,PRJEB38173
SAMEA6815685,library_SAMEA6815685,GCA_013435755.1,ERR4189696,Amphilophus_spp,PRJEB38173
SAMEA6815686,library_SAMEA6815686,GCA_013435755.1,ERR4189697,Amphilophus_spp,PRJEB38173
SAMEA6815695,library_SAMEA6815695,GCA_013435755.1,ERR4189706,Amphilophus_spp,PRJEB38173
SAMEA6815696,library_SAMEA6815696,GCA_013435755.1,ERR4189707,Amphilophus_spp,PRJEB38173
SAMEA6815699,library_SAMEA6815699,GCA_013435755.1,ERR4189710,Amphilophus_spp,PRJEB38173
SAMEA6815711,library_SAMEA6815711,GCA_013435755.1,ERR4189722,Amphilophus_spp,PRJEB38173
SAMEA6815730,library_SAMEA6815730,GCA_013435755.1,ERR4189741,Amphilophus_spp,PRJEB38173
SAMEA6815775,library_SAMEA6815775,GCA_013435755.1,ERR4189786,Amphilophus_spp,PRJEB38173
SAMEA6815776,library_SAMEA6815776,GCA_013435755.1,ERR4189787,Amphilophus_spp,PRJEB38173
SAMEA6815777,library_SAMEA6815777,GCA_013435755.1,ERR4189788,Amphilophus_spp,PRJEB38173
SAMEA6815778,library_SAMEA6815778,GCA_013435755.1,ERR4189789,Amphilophus_spp,PRJEB38173
SAMEA6815779,library_SAMEA6815779,GCA_013435755.1,ERR4189790,Amphilophus_spp,PRJEB38173
SAMEA6815780,library_SAMEA6815780,GCA_013435755.1,ERR4189791,Amphilophus_spp,PRJEB38173
SAMEA6815781,library_SAMEA6815781,GCA_013435755.1,ERR4189792,Amphilophus_spp,PRJEB38173
SAMEA6815783,library_SAMEA6815783,GCA_013435755.1,ERR4189794,Amphilophus_spp,PRJEB38173
SAMEA6815785,library_SAMEA6815785,GCA_013435755.1,ERR4189796,Amphilophus_spp,PRJEB38173
SAMEA6815786,library_SAMEA6815786,GCA_013435755.1,ERR4189797,Amphilophus_spp,PRJEB38173
