BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA6815754,library_SAMEA6815754,GCA_013435755.1,ERR4189765,Amphilophus_zaliosus,PRJEB38173
SAMEA6815755,library_SAMEA6815755,GCA_013435755.1,ERR4189766,Amphilophus_zaliosus,PRJEB38173
SAMEA6815756,library_SAMEA6815756,GCA_013435755.1,ERR4189767,Amphilophus_zaliosus,PRJEB38173
SAMEA6815757,library_SAMEA6815757,GCA_013435755.1,ERR4189768,Amphilophus_zaliosus,PRJEB38173
SAMEA6815758,library_SAMEA6815758,GCA_013435755.1,ERR4189769,Amphilophus_zaliosus,PRJEB38173
SAMEA6815759,library_SAMEA6815759,GCA_013435755.1,ERR4189770,Amphilophus_zaliosus,PRJEB38173
SAMEA6815760,library_SAMEA6815760,GCA_013435755.1,ERR4189771,Amphilophus_zaliosus,PRJEB38173
SAMEA6815761,library_SAMEA6815761,GCA_013435755.1,ERR4189772,Amphilophus_zaliosus,PRJEB38173
SAMEA6815762,library_SAMEA6815762,GCA_013435755.1,ERR4189773,Amphilophus_zaliosus,PRJEB38173
SAMEA6815763,library_SAMEA6815763,GCA_013435755.1,ERR4189774,Amphilophus_zaliosus,PRJEB38173
SAMEA6815764,library_SAMEA6815764,GCA_013435755.1,ERR4189775,Amphilophus_zaliosus,PRJEB38173
SAMEA6815765,library_SAMEA6815765,GCA_013435755.1,ERR4189776,Amphilophus_zaliosus,PRJEB38173
SAMEA6815766,library_SAMEA6815766,GCA_013435755.1,ERR4189777,Amphilophus_zaliosus,PRJEB38173
SAMEA6815767,library_SAMEA6815767,GCA_013435755.1,ERR4189778,Amphilophus_zaliosus,PRJEB38173
SAMEA6815768,library_SAMEA6815768,GCA_013435755.1,ERR4189779,Amphilophus_zaliosus,PRJEB38173
SAMEA6815769,library_SAMEA6815769,GCA_013435755.1,ERR4189780,Amphilophus_zaliosus,PRJEB38173
SAMEA6815770,library_SAMEA6815770,GCA_013435755.1,ERR4189781,Amphilophus_zaliosus,PRJEB38173
SAMEA6815771,library_SAMEA6815771,GCA_013435755.1,ERR4189782,Amphilophus_zaliosus,PRJEB38173
SAMEA6815772,library_SAMEA6815772,GCA_013435755.1,ERR4189783,Amphilophus_zaliosus,PRJEB38173
SAMEA6815773,library_SAMEA6815773,GCA_013435755.1,ERR4189784,Amphilophus_zaliosus,PRJEB38173
