BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN02843222,IRL_Lm_R05,GCF_000738735.5,SRR1368293,Corvus_frugilegus,PRJNA192205
SAMN02843223,IRL_Lm_R01,GCF_000738735.5,SRR1368309,Corvus_frugilegus,PRJNA192205
SAMN02843223,IRL_Lm_R01,GCF_000738735.5,SRR1368322,Corvus_frugilegus,PRJNA192205
SAMN02843223,IRL_Lm_R01,GCF_000738735.5,SRR1368329,Corvus_frugilegus,PRJNA192205
SAMN02843223,IRL_Lm_R01,GCF_000738735.5,SRR1368330,Corvus_frugilegus,PRJNA192205
SAMN02843223,IRL_Lm_R01,GCF_000738735.5,SRR1368331,Corvus_frugilegus,PRJNA192205
SAMEA3334576,DNA_433,GCF_000738735.5,ERR849952,Corvus_frugilegus,PRJEB9057
SAMEA3334577,DNA_444,GCF_000738735.5,ERR849963,Corvus_frugilegus,PRJEB9057
SAMEA3334578,DNA_453,GCF_000738735.5,ERR849972,Corvus_frugilegus,PRJEB9057
SAMEA3334579,DNA_464,GCF_000738735.5,ERR849983,Corvus_frugilegus,PRJEB9057
SAMEA3334580,DNA_497,GCF_000738735.5,ERR850016,Corvus_frugilegus,PRJEB9057
SAMEA3334581,DNA_498,GCF_000738735.5,ERR850017,Corvus_frugilegus,PRJEB9057
SAMEA3334582,DNA_533,GCF_000738735.5,ERR850052,Corvus_frugilegus,PRJEB9057
SAMEA3334583,DNA_534,GCF_000738735.5,ERR850053,Corvus_frugilegus,PRJEB9057
SAMEA3334584,DNA_547,GCF_000738735.5,ERR850066,Corvus_frugilegus,PRJEB9057
SAMEA3334585,DNA_553,GCF_000738735.5,ERR850072,Corvus_frugilegus,PRJEB9057
