BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN17255110,BDSW200013103,GCF_000337955.1,SRR13381402,Falco_peregrinus,PRJNA686418
SAMN17118395,H3322DSXY,GCF_000337955.1,SRR13275271,Falco_peregrinus,PRJNA686418
SAMN17118869,FALjfjRAMDIAAPEI,GCF_000337955.1,SRR13275722,Falco_peregrinus,PRJNA686418
SAMN17150318,H3C5MDSXY,GCF_000337955.1,SRR13298315,Falco_peregrinus,PRJNA686418
SAMN17150848,H3C5MDSXY,GCF_000337955.1,SRR13299792,Falco_peregrinus,PRJNA686418
SAMN17132314,FALjfjRAYDIAAPEI,GCF_000337955.1,SRR13284710,Falco_peregrinus,PRJNA686418
SAMN17132232,FALjfjRAVDIAAPEI,GCF_000337955.1,SRR13284718,Falco_peregrinus,PRJNA686418
SAMN17132259,FALjfjRAXDIABPEI,GCF_000337955.1,SRR13284738,Falco_peregrinus,PRJNA686418
SAMN17132315,FALjfjRAZDIAAPEI,GCF_000337955.1,SRR13284741,Falco_peregrinus,PRJNA686418
SAMN17134049,FALjfjRBBDIAAPEI,GCF_000337955.1,SRR13285863,Falco_peregrinus,PRJNA686418
SAMN17141464,FALjfjRBADIAAPEI,GCF_000337955.1,SRR13291694,Falco_peregrinus,PRJNA686418
SAMN17141518,FALjfjRATDIAAPEI,GCF_000337955.1,SRR13291718,Falco_peregrinus,PRJNA686418
SAMN17141580,FALjfjRAUDIAAPEI,GCF_000337955.1,SRR13291719,Falco_peregrinus,PRJNA686418
SAMN17154545,H3C5MDSXY,GCF_000337955.1,SRR13306816,Falco_peregrinus,PRJNA686418
SAMN17120643,FALjfjRAODIAAPEI,GCF_000337955.1,SRR13277387,Falco_peregrinus,PRJNA686418
SAMN17120864,FALjfjRAPDIAAPEI,GCF_000337955.1,SRR13277473,Falco_peregrinus,PRJNA686418
SAMN17120865,FALjfjRAADIAAPEI,GCF_000337955.1,SRR13277475,Falco_peregrinus,PRJNA686418
SAMN17120983,FALjfjRBCDIAAPEI,GCF_000337955.1,SRR13277490,Falco_peregrinus,PRJNA686418
SAMN17125934,FALjfjRBEDIAAPEI,GCF_000337955.1,SRR13279069,Falco_peregrinus,PRJNA686418
SAMN17125939,FALjfjRAIDIAAPEI,GCF_000337955.1,SRR13279070,Falco_peregrinus,PRJNA686418
SAMN17125933,FALjfjRAFDIAAPEI,GCF_000337955.1,SRR13279071,Falco_peregrinus,PRJNA686418
SAMN17125937,FALjfjRACDIAAPEI,GCF_000337955.1,SRR13279136,Falco_peregrinus,PRJNA686418
SAMN17125936,FALjfjRADDIAAPEI,GCF_000337955.1,SRR13279232,Falco_peregrinus,PRJNA686418
SAMN17125938,FALjfjRBDDIAAPEI,GCF_000337955.1,SRR13279233,Falco_peregrinus,PRJNA686418
SAMN17120864,BDSW200013099,GCF_000337955.1,SRR13376018,Falco_peregrinus,PRJNA686418
SAMN17126931,BDSW200013100,GCF_000337955.1,SRR13376020,Falco_peregrinus,PRJNA686418
SAMN17126933,BDSW200013101,GCF_000337955.1,SRR13376021,Falco_peregrinus,PRJNA686418
SAMN17132248,BDSW200013106,GCF_000337955.1,SRR13376033,Falco_peregrinus,PRJNA686418
SAMN17132259,BDSW200013107,GCF_000337955.1,SRR13376034,Falco_peregrinus,PRJNA686418
SAMN17132314,BDSW200013108,GCF_000337955.1,SRR13376035,Falco_peregrinus,PRJNA686418
SAMN17141464,BDSW200013110,GCF_000337955.1,SRR13376036,Falco_peregrinus,PRJNA686418
SAMN17125934,BDSW200013115,GCF_000337955.1,SRR13376037,Falco_peregrinus,PRJNA686418
SAMN17120865,BDSW200013092,GCF_000337955.1,SRR13376038,Falco_peregrinus,PRJNA686418
SAMN17125937,BDSW200013114,GCF_000337955.1,SRR13376039,Falco_peregrinus,PRJNA686418
