BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA2785380,OC_1_450,GCF_000247815.1,ERR637360,Ficedula_albicollis,PRJEB7359
SAMEA2785381,OC_2_450,GCF_000247815.1,ERR637361,Ficedula_albicollis,PRJEB7359
SAMEA2785382,OC_3_450,GCF_000247815.1,ERR637362,Ficedula_albicollis,PRJEB7359
SAMEA2785383,OC_4_450,GCF_000247815.1,ERR637363,Ficedula_albicollis,PRJEB7359
SAMEA2785384,OC_5_450,GCF_000247815.1,ERR637364,Ficedula_albicollis,PRJEB7359
SAMEA2785385,OC_6_450,GCF_000247815.1,ERR637365,Ficedula_albicollis,PRJEB7359
SAMEA2785386,OC_7_450,GCF_000247815.1,ERR637366,Ficedula_albicollis,PRJEB7359
SAMEA2785387,OC_8_450,GCF_000247815.1,ERR637367,Ficedula_albicollis,PRJEB7359
SAMEA2785388,OC_10_450,GCF_000247815.1,ERR637368,Ficedula_albicollis,PRJEB7359
SAMEA2785389,OC_HB1_450,GCF_000247815.1,ERR637369,Ficedula_albicollis,PRJEB7359
SAMEA2785390,OC_HB2_450,GCF_000247815.1,ERR637370,Ficedula_albicollis,PRJEB7359
SAMEA2785391,OC_HB3_450,GCF_000247815.1,ERR637371,Ficedula_albicollis,PRJEB7359
SAMEA2785392,OC_HB4_450,GCF_000247815.1,ERR637372,Ficedula_albicollis,PRJEB7359
SAMEA2785393,OC_HB5_450,GCF_000247815.1,ERR637373,Ficedula_albicollis,PRJEB7359
SAMEA2785394,OC_HB6_450,GCF_000247815.1,ERR637374,Ficedula_albicollis,PRJEB7359
SAMEA2785395,OC_HB7_450,GCF_000247815.1,ERR637375,Ficedula_albicollis,PRJEB7359
SAMEA2785396,OC_HB8_450,GCF_000247815.1,ERR637376,Ficedula_albicollis,PRJEB7359
SAMEA2785398,OC_HB10_450,GCF_000247815.1,ERR637378,Ficedula_albicollis,PRJEB7359
SAMEA2785558,I_D5-2_450,GCF_000247815.1,ERR637505,Ficedula_albicollis,PRJEB7359
SAMEA2785559,I_D6-2_450,GCF_000247815.1,ERR637506,Ficedula_albicollis,PRJEB7359
