BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA3175116,FSP08-001_450,GCF_000247815.1,ERR700462,Ficedula_speculigera,PRJEB7359
SAMEA3175117,FSP08-002_450,GCF_000247815.1,ERR700463,Ficedula_speculigera,PRJEB7359
SAMEA3175118,FSP08-006_450,GCF_000247815.1,ERR700464,Ficedula_speculigera,PRJEB7359
SAMEA3175119,FSP08-007_450,GCF_000247815.1,ERR700465,Ficedula_speculigera,PRJEB7359
SAMEA3175120,FSP08-009_450,GCF_000247815.1,ERR700466,Ficedula_speculigera,PRJEB7359
SAMEA3175122,FSP08-011_450,GCF_000247815.1,ERR700468,Ficedula_speculigera,PRJEB7359
SAMEA3175123,FSP08-012_450,GCF_000247815.1,ERR700469,Ficedula_speculigera,PRJEB7359
SAMEA3175124,FSP08-014_450,GCF_000247815.1,ERR700470,Ficedula_speculigera,PRJEB7359
SAMEA3175125,FSP08-015_450,GCF_000247815.1,ERR700471,Ficedula_speculigera,PRJEB7359
SAMEA3175126,FSP08-017_450,GCF_000247815.1,ERR700472,Ficedula_speculigera,PRJEB7359
SAMEA3175127,FSP08-018_450,GCF_000247815.1,ERR700473,Ficedula_speculigera,PRJEB7359
SAMEA3175128,FSP08-019_450,GCF_000247815.1,ERR700474,Ficedula_speculigera,PRJEB7359
SAMEA3175129,FSP08-020_450,GCF_000247815.1,ERR700475,Ficedula_speculigera,PRJEB7359
SAMEA3175130,FSP08-021_450,GCF_000247815.1,ERR700476,Ficedula_speculigera,PRJEB7359
SAMEA3175131,FSP08-022_450,GCF_000247815.1,ERR700477,Ficedula_speculigera,PRJEB7359
SAMEA3175132,FSP08-023_450,GCF_000247815.1,ERR700478,Ficedula_speculigera,PRJEB7359
SAMEA3175133,FSP08-024_450,GCF_000247815.1,ERR700479,Ficedula_speculigera,PRJEB7359
SAMEA3175134,FSP08-025_450,GCF_000247815.1,ERR700480,Ficedula_speculigera,PRJEB7359
SAMEA3175135,FSP08-026_450,GCF_000247815.1,ERR700481,Ficedula_speculigera,PRJEB7359
SAMEA3175121,FSP08-010_450,GCF_000247815.1,ERR700467,Ficedula_speculigera,PRJEB7359
