BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN09786120,MKB6,GCF_000239415.1,SRR7662352,Haplochromis_burtoni,PRJNA485198
SAMN09786121,MKB7,GCF_000239415.1,SRR7662353,Haplochromis_burtoni,PRJNA485198
SAMN09786118,MKB3,GCF_000239415.1,SRR7662354,Haplochromis_burtoni,PRJNA485198
SAMN09786119,MKB5,GCF_000239415.1,SRR7662355,Haplochromis_burtoni,PRJNA485198
SAMN09786116,MKA9,GCF_000239415.1,SRR7662356,Haplochromis_burtoni,PRJNA485198
SAMN09786117,MKB2,GCF_000239415.1,SRR7662357,Haplochromis_burtoni,PRJNA485198
SAMN09786114,MKA5,GCF_000239415.1,SRR7662358,Haplochromis_burtoni,PRJNA485198
SAMN09786115,MKA6,GCF_000239415.1,SRR7662359,Haplochromis_burtoni,PRJNA485198
SAMN09786122,MKC1,GCF_000239415.1,SRR7662360,Haplochromis_burtoni,PRJNA485198
SAMN09786123,MKC2,GCF_000239415.1,SRR7662361,Haplochromis_burtoni,PRJNA485198
SAMN09786107,LKH9,GCF_000239415.1,SRR7662372,Haplochromis_burtoni,PRJNA485198
SAMN09786106,LKH8,GCF_000239415.1,SRR7662373,Haplochromis_burtoni,PRJNA485198
SAMN09786105,LKH6,GCF_000239415.1,SRR7662374,Haplochromis_burtoni,PRJNA485198
SAMN09786104,LKH5,GCF_000239415.1,SRR7662375,Haplochromis_burtoni,PRJNA485198
SAMN09786111,MJI8,GCF_000239415.1,SRR7662376,Haplochromis_burtoni,PRJNA485198
SAMN09786110,MJI7,GCF_000239415.1,SRR7662377,Haplochromis_burtoni,PRJNA485198
SAMN09786109,LKI2,GCF_000239415.1,SRR7662378,Haplochromis_burtoni,PRJNA485198
SAMN09786108,LKI1,GCF_000239415.1,SRR7662379,Haplochromis_burtoni,PRJNA485198
SAMN09786113,MKA4,GCF_000239415.1,SRR7662380,Haplochromis_burtoni,PRJNA485198
SAMN09786077,LKF6,GCF_000239415.1,SRR7662392,Haplochromis_burtoni,PRJNA485198
SAMN09786076,LKF5,GCF_000239415.1,SRR7662393,Haplochromis_burtoni,PRJNA485198
SAMN09786125,MKC4,GCF_000239415.1,SRR7662394,Haplochromis_burtoni,PRJNA485198
SAMN09786075,LKF4,GCF_000239415.1,SRR7662395,Haplochromis_burtoni,PRJNA485198
SAMN09786080,LKF9,GCF_000239415.1,SRR7662405,Haplochromis_burtoni,PRJNA485198
SAMN09786079,LKF8,GCF_000239415.1,SRR7662406,Haplochromis_burtoni,PRJNA485198
SAMN09786078,LKF7,GCF_000239415.1,SRR7662407,Haplochromis_burtoni,PRJNA485198
SAMN09786174,MKE6,GCF_000239415.1,SRR7662408,Haplochromis_burtoni,PRJNA485198
