BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363088,10,GCF_001891065.1,SRR12601670,Hippocampus_abdominalis,PRJNA612146
SAMN14363087,9,GCF_001891065.1,SRR12601681,Hippocampus_abdominalis,PRJNA612146
SAMN14363086,8,GCF_001891065.1,SRR12601836,Hippocampus_abdominalis,PRJNA612146
SAMN14363094,16,GCF_001891065.1,SRR12601960,Hippocampus_abdominalis,PRJNA612146
SAMN14363082,4,GCF_001891065.1,SRR12601794,Hippocampus_abdominalis,PRJNA612146
SAMN14363085,7,GCF_001891065.1,SRR12601847,Hippocampus_abdominalis,PRJNA612146
SAMN14363084,6,GCF_001891065.1,SRR12601858,Hippocampus_abdominalis,PRJNA612146
SAMN14363092,14,GCF_001891065.1,SRR12601910,Hippocampus_abdominalis,PRJNA612146
SAMN14363091,13,GCF_001891065.1,SRR12601921,Hippocampus_abdominalis,PRJNA612146
SAMN14363090,12,GCF_001891065.1,SRR12601932,Hippocampus_abdominalis,PRJNA612146
SAMN14363081,3,GCF_001891065.1,SRR12602013,Hippocampus_abdominalis,PRJNA612146
SAMN14363089,11,GCF_001891065.1,SRR12602015,Hippocampus_abdominalis,PRJNA612146
SAMN14363079,1,GCF_001891065.1,SRR12602017,Hippocampus_abdominalis,PRJNA612146
SAMN14363083,5,GCF_001891065.1,SRR12601869,Hippocampus_abdominalis,PRJNA612146
SAMN14363093,15,GCF_001891065.1,SRR12601971,Hippocampus_abdominalis,PRJNA612146
SAMN14363080,2,GCF_001891065.1,SRR12602016,Hippocampus_abdominalis,PRJNA612146
