BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363112,34,GCF_001891065.1,SRR12601724,Hippocampus_algiricus,PRJNA612146
SAMN14363107,29,GCF_001891065.1,SRR12601744,Hippocampus_algiricus,PRJNA612146
SAMN14363106,28,GCF_001891065.1,SRR12601755,Hippocampus_algiricus,PRJNA612146
SAMN14363111,33,GCF_001891065.1,SRR12601771,Hippocampus_algiricus,PRJNA612146
SAMN14363109,31,GCF_001891065.1,SRR12601793,Hippocampus_algiricus,PRJNA612146
SAMN14363104,26,GCF_001891065.1,SRR12601813,Hippocampus_algiricus,PRJNA612146
SAMN14363098,20,GCF_001891065.1,SRR12601880,Hippocampus_algiricus,PRJNA612146
SAMN14363096,18,GCF_001891065.1,SRR12601902,Hippocampus_algiricus,PRJNA612146
SAMN14363101,23,GCF_001891065.1,SRR12601990,Hippocampus_algiricus,PRJNA612146
SAMN14363100,22,GCF_001891065.1,SRR12602001,Hippocampus_algiricus,PRJNA612146
SAMN14363108,30,GCF_001891065.1,SRR12601733,Hippocampus_algiricus,PRJNA612146
SAMN14363105,27,GCF_001891065.1,SRR12601802,Hippocampus_algiricus,PRJNA612146
SAMN14363103,25,GCF_001891065.1,SRR12601824,Hippocampus_algiricus,PRJNA612146
SAMN14363097,19,GCF_001891065.1,SRR12601891,Hippocampus_algiricus,PRJNA612146
SAMN14363102,24,GCF_001891065.1,SRR12601979,Hippocampus_algiricus,PRJNA612146
SAMN14363099,21,GCF_001891065.1,SRR12602012,Hippocampus_algiricus,PRJNA612146
SAMN14363110,32,GCF_001891065.1,SRR12601782,Hippocampus_algiricus,PRJNA612146
SAMN14363095,17,GCF_001891065.1,SRR12601949,Hippocampus_algiricus,PRJNA612146
