BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363118,40,GCF_001891065.1,SRR12601690,Hippocampus_barbouri,PRJNA612146
SAMN14363114,36,GCF_001891065.1,SRR12601702,Hippocampus_barbouri,PRJNA612146
SAMN14363113,35,GCF_001891065.1,SRR12601713,Hippocampus_barbouri,PRJNA612146
SAMN14363132,54,GCF_001891065.1,SRR12601854,Hippocampus_barbouri,PRJNA612146
SAMN14363131,53,GCF_001891065.1,SRR12601855,Hippocampus_barbouri,PRJNA612146
SAMN14363129,51,GCF_001891065.1,SRR12601857,Hippocampus_barbouri,PRJNA612146
SAMN14363127,49,GCF_001891065.1,SRR12601860,Hippocampus_barbouri,PRJNA612146
SAMN14363125,47,GCF_001891065.1,SRR12601862,Hippocampus_barbouri,PRJNA612146
SAMN14363123,45,GCF_001891065.1,SRR12601864,Hippocampus_barbouri,PRJNA612146
SAMN14363122,44,GCF_001891065.1,SRR12601865,Hippocampus_barbouri,PRJNA612146
SAMN14363120,42,GCF_001891065.1,SRR12601867,Hippocampus_barbouri,PRJNA612146
SAMN14363119,41,GCF_001891065.1,SRR12601868,Hippocampus_barbouri,PRJNA612146
SAMN14363117,39,GCF_001891065.1,SRR12601691,Hippocampus_barbouri,PRJNA612146
SAMN14363115,37,GCF_001891065.1,SRR12601693,Hippocampus_barbouri,PRJNA612146
SAMN14363130,52,GCF_001891065.1,SRR12601856,Hippocampus_barbouri,PRJNA612146
SAMN14363128,50,GCF_001891065.1,SRR12601859,Hippocampus_barbouri,PRJNA612146
SAMN14363126,48,GCF_001891065.1,SRR12601861,Hippocampus_barbouri,PRJNA612146
SAMN14363124,46,GCF_001891065.1,SRR12601863,Hippocampus_barbouri,PRJNA612146
SAMN14363121,43,GCF_001891065.1,SRR12601866,Hippocampus_barbouri,PRJNA612146
SAMN14363116,38,GCF_001891065.1,SRR12601692,Hippocampus_barbouri,PRJNA612146
