BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363212,134,GCF_001891065.1,SRR12601906,Hippocampus_hippocampus,PRJNA612146
SAMN14363210,132,GCF_001891065.1,SRR12601908,Hippocampus_hippocampus,PRJNA612146
SAMN14363223,145,GCF_001891065.1,SRR12601966,Hippocampus_hippocampus,PRJNA612146
SAMN14363222,144,GCF_001891065.1,SRR12601967,Hippocampus_hippocampus,PRJNA612146
SAMN14363217,139,GCF_001891065.1,SRR12601973,Hippocampus_hippocampus,PRJNA612146
SAMN14363215,137,GCF_001891065.1,SRR12601975,Hippocampus_hippocampus,PRJNA612146
SAMN14363214,136,GCF_001891065.1,SRR12601976,Hippocampus_hippocampus,PRJNA612146
SAMN14363211,133,GCF_001891065.1,SRR12601907,Hippocampus_hippocampus,PRJNA612146
SAMN14363221,143,GCF_001891065.1,SRR12601968,Hippocampus_hippocampus,PRJNA612146
SAMN14363219,141,GCF_001891065.1,SRR12601970,Hippocampus_hippocampus,PRJNA612146
SAMN14363216,138,GCF_001891065.1,SRR12601974,Hippocampus_hippocampus,PRJNA612146
SAMN14363213,135,GCF_001891065.1,SRR12601977,Hippocampus_hippocampus,PRJNA612146
SAMN14363220,142,GCF_001891065.1,SRR12601969,Hippocampus_hippocampus,PRJNA612146
SAMN14363224,146,GCF_001891065.1,SRR12601965,Hippocampus_hippocampus,PRJNA612146
SAMN14363209,131,GCF_001891065.1,SRR12601909,Hippocampus_hippocampus,PRJNA612146
SAMN14363218,140,GCF_001891065.1,SRR12601972,Hippocampus_hippocampus,PRJNA612146
