BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN14363395,317,GCF_001891065.1,SRR12601775,Hippocampus_spinosissimus,PRJNA612146
SAMN14363392,314,GCF_001891065.1,SRR12601778,Hippocampus_spinosissimus,PRJNA612146
SAMN14363389,311,GCF_001891065.1,SRR12601781,Hippocampus_spinosissimus,PRJNA612146
SAMN14363388,310,GCF_001891065.1,SRR12601783,Hippocampus_spinosissimus,PRJNA612146
SAMN14363387,309,GCF_001891065.1,SRR12601784,Hippocampus_spinosissimus,PRJNA612146
SAMN14363385,307,GCF_001891065.1,SRR12601786,Hippocampus_spinosissimus,PRJNA612146
SAMN14363382,304,GCF_001891065.1,SRR12601789,Hippocampus_spinosissimus,PRJNA612146
SAMN14363380,302,GCF_001891065.1,SRR12601791,Hippocampus_spinosissimus,PRJNA612146
SAMN14363377,299,GCF_001891065.1,SRR12601796,Hippocampus_spinosissimus,PRJNA612146
SAMN14363394,316,GCF_001891065.1,SRR12601776,Hippocampus_spinosissimus,PRJNA612146
SAMN14363393,315,GCF_001891065.1,SRR12601777,Hippocampus_spinosissimus,PRJNA612146
SAMN14363391,313,GCF_001891065.1,SRR12601779,Hippocampus_spinosissimus,PRJNA612146
SAMN14363390,312,GCF_001891065.1,SRR12601780,Hippocampus_spinosissimus,PRJNA612146
SAMN14363386,308,GCF_001891065.1,SRR12601785,Hippocampus_spinosissimus,PRJNA612146
SAMN14363384,306,GCF_001891065.1,SRR12601787,Hippocampus_spinosissimus,PRJNA612146
SAMN14363379,301,GCF_001891065.1,SRR12601792,Hippocampus_spinosissimus,PRJNA612146
SAMN14363378,300,GCF_001891065.1,SRR12601795,Hippocampus_spinosissimus,PRJNA612146
SAMN14363376,298,GCF_001891065.1,SRR12601797,Hippocampus_spinosissimus,PRJNA612146
SAMN14363383,305,GCF_001891065.1,SRR12601788,Hippocampus_spinosissimus,PRJNA612146
SAMN14363381,303,GCF_001891065.1,SRR12601790,Hippocampus_spinosissimus,PRJNA612146
