BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies
PRJNA612146,SAMN14363395,Hippocampus_spinosissimus,missing,Hsp_20,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363392,Hippocampus_spinosissimus,missing,Hsp_17,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363389,Hippocampus_spinosissimus,missing,Hsp_14,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363388,Hippocampus_spinosissimus,missing,Hsp_13,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363387,Hippocampus_spinosissimus,missing,Hsp_12,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363385,Hippocampus_spinosissimus,missing,Hsp_10,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363382,Hippocampus_spinosissimus,missing,Hsp_7,Phuket Island,NA,Thailand,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363380,Hippocampus_spinosissimus,missing,Hsp_5,Phuket Island,NA,Thailand,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363377,Hippocampus_spinosissimus,missing,Hsp_2,Phuket Island,NA,Thailand,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363394,Hippocampus_spinosissimus,missing,Hsp_19,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363393,Hippocampus_spinosissimus,missing,Hsp_18,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363391,Hippocampus_spinosissimus,missing,Hsp_16,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363390,Hippocampus_spinosissimus,missing,Hsp_15,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363386,Hippocampus_spinosissimus,missing,Hsp_11,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363384,Hippocampus_spinosissimus,missing,Hsp_9,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363379,Hippocampus_spinosissimus,missing,Hsp_4,Phuket Island,NA,Thailand,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363378,Hippocampus_spinosissimus,missing,Hsp_3,Phuket Island,NA,Thailand,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363376,Hippocampus_spinosissimus,missing,Hsp_1,Phuket Island,NA,Thailand,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363383,Hippocampus_spinosissimus,missing,Hsp_8,Sanya,Hainan Province,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363381,Hippocampus_spinosissimus,missing,Hsp_6,Phuket Island,NA,Thailand,GCF_001891065.1,Hippocampus_comes
