BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA4785141,library_SAMEA4785141,GCA_001700915.1,ERR2697525,Passer_montanus,PRJEB27649
SAMEA4785142,library_SAMEA4785142,GCA_001700915.1,ERR2697526,Passer_montanus,PRJEB27649
SAMEA4785143,library_SAMEA4785143,GCA_001700915.1,ERR2697527,Passer_montanus,PRJEB27649
SAMEA4785144,library_SAMEA4785144,GCA_001700915.1,ERR2697528,Passer_montanus,PRJEB27649
SAMEA4785146,library_SAMEA4785146,GCA_001700915.1,ERR2697530,Passer_montanus,PRJEB27649
SAMEA4785149,library_SAMEA4785149,GCA_001700915.1,ERR2697533,Passer_montanus,PRJEB27649
SAMEA4785145,library_SAMEA4785145,GCA_001700915.1,ERR2697529,Passer_montanus,PRJEB27649
SAMEA4785147,library_SAMEA4785147,GCA_001700915.1,ERR2697531,Passer_montanus,PRJEB27649
SAMEA4785148,library_SAMEA4785148,GCA_001700915.1,ERR2697532,Passer_montanus,PRJEB27649
SAMN06619722,NA,GCA_001700915.1,SRR5369936,Passer_montanus,PRJNA255814
