BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN09469396,Psin_18_lib,GCF_902500615.1,SRR7411962,Pungitius_sinensis,PRJNA477377
SAMN09469395,Psin_17_lib,GCF_902500615.1,SRR7411963,Pungitius_sinensis,PRJNA477377
SAMN09469380,Psin_10_lib,GCF_902500615.1,SRR7411966,Pungitius_sinensis,PRJNA477377
SAMN09469387,Psin_1_lib,GCF_902500615.1,SRR7411967,Pungitius_sinensis,PRJNA477377
SAMN09469382,Psin_12_lib,GCF_902500615.1,SRR7411968,Pungitius_sinensis,PRJNA477377
SAMN09469381,Psin_11_lib,GCF_902500615.1,SRR7411969,Pungitius_sinensis,PRJNA477377
SAMN09469384,Psin_14_lib,GCF_902500615.1,SRR7411970,Pungitius_sinensis,PRJNA477377
SAMN09469383,Psin_13_lib,GCF_902500615.1,SRR7411971,Pungitius_sinensis,PRJNA477377
SAMN09469394,Psin_16_lib,GCF_902500615.1,SRR7411972,Pungitius_sinensis,PRJNA477377
SAMN09469385,Psin_15_lib,GCF_902500615.1,SRR7411973,Pungitius_sinensis,PRJNA477377
SAMN09469393,Psin_9_lib,GCF_902500615.1,SRR7411988,Pungitius_sinensis,PRJNA477377
SAMN09469392,Psin_8_lib,GCF_902500615.1,SRR7411989,Pungitius_sinensis,PRJNA477377
SAMN09469390,Psin_6_lib,GCF_902500615.1,SRR7412017,Pungitius_sinensis,PRJNA477377
SAMN09469391,Psin_7_lib,GCF_902500615.1,SRR7412018,Pungitius_sinensis,PRJNA477377
SAMN09469386,Psin_19_lib,GCF_902500615.1,SRR7412025,Pungitius_sinensis,PRJNA477377
SAMN09469388,Psin_2_lib,GCF_902500615.1,SRR7412026,Pungitius_sinensis,PRJNA477377
SAMN09469397,Psin_20_lib,GCF_902500615.1,SRR7412027,Pungitius_sinensis,PRJNA477377
SAMN09469398,Psin_21_lib,GCF_902500615.1,SRR7412028,Pungitius_sinensis,PRJNA477377
SAMN09469399,Psin_22_lib,GCF_902500615.1,SRR7412029,Pungitius_sinensis,PRJNA477377
SAMN09469378,Psin_3_lib,GCF_902500615.1,SRR7412030,Pungitius_sinensis,PRJNA477377
SAMN09469379,Psin_4_lib,GCF_902500615.1,SRR7412031,Pungitius_sinensis,PRJNA477377
SAMN09469389,Psin_5_lib,GCF_902500615.1,SRR7412032,Pungitius_sinensis,PRJNA477377
