BioProject,BioSample,Organism,sex,Submitter_ID,FAO_Fishing_Area,Country,Locality,refGenome,refSpecies
PRJEB14402,SAMEA4032484,Thunnus_albacares,missing,CAP247,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032485,Thunnus_albacares,missing,CAP248,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032487,Thunnus_albacares,missing,CAP252,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032488,Thunnus_albacares,missing,CAP255,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032490,Thunnus_albacares,missing,ELS002,"Pacific, Eastern Central","NA","5° N, 104° W",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032491,Thunnus_albacares,missing,IND570,"Indian Ocean, Eastern",Indonesia,"Denpasar, 10°S, 110°E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032492,Thunnus_albacares,missing,IND571,"Indian Ocean, Eastern",Indonesia,"Denpasar, 10°S, 110°E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032493,Thunnus_albacares,missing,IND572,"Indian Ocean, Eastern",Indonesia,"Denpasar, 10°S, 110°E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032494,Thunnus_albacares,missing,IVO011,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032495,Thunnus_albacares,missing,IVO012,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032496,Thunnus_albacares,missing,IVO013,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032497,Thunnus_albacares,missing,IVO014,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032498,Thunnus_albacares,missing,IVO015,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032499,Thunnus_albacares,missing,IVO016,"Atlantic, Eastern Central",Ivory Coast,Abidjan,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032500,Thunnus_albacares,missing,JAP001,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032501,Thunnus_albacares,missing,JAP002,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032502,Thunnus_albacares,missing,JAP003,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032503,Thunnus_albacares,missing,JAP004,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032504,Thunnus_albacares,missing,JAP005,"Pacific, Northwest",Japan,Sagami Bay,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032505,Thunnus_albacares,missing,JAP102,"Pacific, Northwest",Japan,Kozu Island,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032506,Thunnus_albacares,missing,JAP103,"Pacific, Northwest",Japan,near Okinawa Island,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032507,Thunnus_albacares,missing,JAP104,"Pacific, Northwest",Japan,near Okinawa Island,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032508,Thunnus_albacares,missing,JAP105,"Pacific, Northwest",Japan,near Okinawa Island,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032509,Thunnus_albacares,missing,JAP106,"Pacific, Northwest",Japan,near Okinawa Island,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032510,Thunnus_albacares,missing,JAP108,"Pacific, Northwest",Japan,Kozu Island,GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032511,Thunnus_albacares,missing,OMA002,"Indian Ocean, Western",Oman,"Muscat, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032512,Thunnus_albacares,missing,OMA004,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032513,Thunnus_albacares,missing,OMA005,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032514,Thunnus_albacares,missing,OMA006,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032515,Thunnus_albacares,missing,OMA007,"Indian Ocean, Western",Oman,"Barka, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032516,Thunnus_albacares,missing,SOU002,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032517,Thunnus_albacares,missing,SOU003,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032518,Thunnus_albacares,missing,SOU005,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032519,Thunnus_albacares,missing,SOU006,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032520,Thunnus_albacares,missing,SOU008,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032521,Thunnus_albacares,missing,SOU010,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032522,Thunnus_albacares,missing,SOU012,"Atlantic, Southeast",South Africa,"Cape Town, 34° S, 18° E",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032523,Thunnus_albacares,missing,USA001,"Atlantic, Northwest",USA,"Rhode Island, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032524,Thunnus_albacares,missing,USA002,"Atlantic, Northwest",USA,"Rhode Island, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032525,Thunnus_albacares,missing,USA004,"Atlantic, Northwest",USA,"Rhode Island, local fish market",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032489,Thunnus_albacares,missing,ELS001,"Pacific, Eastern Central","NA","3° N, 154° W",GCA_900302625.1,Thunnus_albacares
PRJEB14402,SAMEA4032486,Thunnus_albacares,missing,CAP249,"Atlantic, Eastern Central",Republic of Cabo Verde,Mindelo,GCA_900302625.1,Thunnus_albacares
