BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies
PRJNA612146,SAMN14363088,Hippocampus_abdominalis,missing,Had_10,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363087,Hippocampus_abdominalis,missing,Had_9,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363086,Hippocampus_abdominalis,missing,Had_8,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363094,Hippocampus_abdominalis,missing,Had_S6,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363082,Hippocampus_abdominalis,missing,Had_4,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363085,Hippocampus_abdominalis,missing,Had_7,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363084,Hippocampus_abdominalis,missing,Had_6,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363092,Hippocampus_abdominalis,missing,Had_S3,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363091,Hippocampus_abdominalis,missing,Had_S2,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363090,Hippocampus_abdominalis,missing,Had_S1,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363081,Hippocampus_abdominalis,missing,Had_3,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363089,Hippocampus_abdominalis,missing,Had_11,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363079,Hippocampus_abdominalis,missing,Had_1,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363083,Hippocampus_abdominalis,missing,Had_5,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363093,Hippocampus_abdominalis,missing,Had_S4,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363080,Hippocampus_abdominalis,missing,Had_2,Tasmania,NA,Austrialia,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363112,Hippocampus_algiricus,missing,Hag_S8,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363107,Hippocampus_algiricus,missing,Hag_S12,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363106,Hippocampus_algiricus,missing,Hag_S11,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363111,Hippocampus_algiricus,missing,Hag_S6,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363109,Hippocampus_algiricus,missing,Hag_S4,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363104,Hippocampus_algiricus,missing,Hag_12,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363098,Hippocampus_algiricus,missing,Hag_4,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363096,Hippocampus_algiricus,missing,Hag_2,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363101,Hippocampus_algiricus,missing,Hag_8,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363100,Hippocampus_algiricus,missing,Hag_6,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363108,Hippocampus_algiricus,missing,Hag_S3,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363105,Hippocampus_algiricus,missing,Hag_S10,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363103,Hippocampus_algiricus,missing,Hag_11,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363097,Hippocampus_algiricus,missing,Hag_3,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363102,Hippocampus_algiricus,missing,Hag_10,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363099,Hippocampus_algiricus,missing,Hag_5,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363110,Hippocampus_algiricus,missing,Hag_S5,Abidjan,NA,Cote d'Ivoire,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363095,Hippocampus_algiricus,missing,Hag_1,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363118,Hippocampus_barbouri,missing,Hbb_6,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363114,Hippocampus_barbouri,missing,Hbb_2,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363113,Hippocampus_barbouri,missing,Hbb_1,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363132,Hippocampus_barbouri,missing,Hbb_20,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363131,Hippocampus_barbouri,missing,Hbb_19,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363129,Hippocampus_barbouri,missing,Hbb_17,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363127,Hippocampus_barbouri,missing,Hbb_15,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363125,Hippocampus_barbouri,missing,Hbb_13,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363123,Hippocampus_barbouri,missing,Hbb_11,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363122,Hippocampus_barbouri,missing,Hbb_10,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363120,Hippocampus_barbouri,missing,Hbb_8,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363119,Hippocampus_barbouri,missing,Hbb_7,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363117,Hippocampus_barbouri,missing,Hbb_5,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363115,Hippocampus_barbouri,missing,Hbb_3,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363130,Hippocampus_barbouri,missing,Hbb_18,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363128,Hippocampus_barbouri,missing,Hbb_16,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363126,Hippocampus_barbouri,missing,Hbb_14,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363124,Hippocampus_barbouri,missing,Hbb_12,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363121,Hippocampus_barbouri,missing,Hbb_9,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363116,Hippocampus_barbouri,missing,Hbb_4,Xiamen,NA,China,GCF_001891065.1,Hippocampus_comes
PRJNA612146,SAMN14363155,Hippocampus_comes,missing,Hcm_14,Banjarmasin,NA,Malaysia,GCF_001891065.1,Hippocampus_comes
